id,perturbation,expected_failure,seed,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
cs_ts_01,TABLE_SPLIT,False,0,SELECT Name FROM singer,1,SELECT Name FROM singer,0,SELECT Name FROM singer_info,1,SELECT Name FROM Singer,0,1,no such table: singer,openai_compat,SELECT Name FROM singer_info,ast,valid,1,0.8079,0.8534,0.8579,1.0681,9.369,10.277708,openai_compat
cs_ts_01,TABLE_SPLIT,False,1,SELECT Name FROM singer,1,SELECT Name FROM singer,0,SELECT Name FROM singer_info,1,SELECT Name FROM singer,0,1,no such table: singer,openai_compat,SELECT Name FROM singer_info,ast,valid,1,0.8572,0.8029,0.8727,0.9843,1.0622,0.871041,openai_compat
cs_ts_01,TABLE_SPLIT,False,2,SELECT Name FROM singer,1,SELECT Name FROM singer,0,SELECT Name FROM singer_info,1,SELECT Name FROM singer,0,1,no such table: singer,openai_compat,SELECT Name FROM singer_info,ast,valid,1,0.6895,0.8814,0.7929,0.8797,0.8389,1.021709,openai_compat
cs_ts_02,TABLE_SPLIT,False,0,SELECT COUNT(*) FROM singer WHERE Country = 'France',1,SELECT COUNT(*) FROM singer WHERE Country = 'France',0,"SELECT COUNT(DISTINCT Singer_ID) 
FROM singer_info 
WHERE Country = 'France'",1,SELECT COUNT(*) FROM Singer WHERE Country = 'France',0,1,no such table: singer,openai_compat,SELECT COUNT(*) FROM singer_info WHERE Country = 'France',ast,valid,1,0.8138,0.8212,1.0059,0.9178,1.0232,1.62325,openai_compat
cs_ts_02,TABLE_SPLIT,False,1,SELECT COUNT(*) FROM singer WHERE Country = 'France',1,SELECT COUNT(*) FROM singer WHERE Country = 'France',0,SELECT COUNT(*) FROM singer_info WHERE Country = 'France',1,SELECT COUNT(*) FROM Singer WHERE Country = 'France',0,1,no such table: singer,openai_compat,SELECT COUNT(*) FROM singer_info WHERE Country = 'France',ast,valid,1,0.8096,0.8098,1.0603,0.9565,1.1945,0.925917,openai_compat
cs_ts_02,TABLE_SPLIT,False,2,SELECT COUNT(*) FROM singer WHERE Country = 'France',1,SELECT COUNT(*) FROM singer WHERE Country = 'France',0,"SELECT COUNT(*) 
FROM singer_info 
WHERE Country = 'France'",1,SELECT COUNT(*) FROM Singer WHERE Country = 'France',0,1,no such table: singer,openai_compat,SELECT COUNT(*) FROM singer_info WHERE Country = 'France',ast,valid,1,0.8095,0.7375,0.9977,1.0232,1.1488,0.72375,openai_compat
cs_ts_03,TABLE_SPLIT,False,0,SELECT Song_Name FROM singer WHERE Singer_ID = 1,1,SELECT Song_Name FROM singer WHERE Singer_ID = 1,0,SELECT Song_Name FROM singer_songs WHERE Singer_ID = 1,1,SELECT Song_Name FROM singer WHERE Singer_ID = 1,0,1,no such table: singer,openai_compat,SELECT Song_Name FROM singer_songs WHERE Singer_ID = 1,ast,valid,1,0.9778,2.5546,1.4938,1.0006,2.65,0.920375,openai_compat
cs_ts_03,TABLE_SPLIT,False,1,SELECT Song_Name FROM singer WHERE Singer_ID = 1,1,SELECT Song_Name FROM singer WHERE Singer_ID = 1,0,SELECT Song_Name FROM singer_songs WHERE Singer_ID = 1,1,SELECT Song_Name FROM Singer WHERE Singer_ID = 1,0,1,no such table: singer,openai_compat,SELECT Song_Name FROM singer_songs WHERE Singer_ID = 1,ast,valid,1,0.8163,0.9584,1.0467,0.8198,0.9329,6.792542,openai_compat
cs_ts_03,TABLE_SPLIT,False,2,SELECT Song_Name FROM singer WHERE Singer_ID = 1,1,SELECT Song_Name FROM singer WHERE Singer_ID = 1,0,SELECT Song_Name FROM singer_songs WHERE Singer_ID = 1,1,SELECT Song_Name FROM singer WHERE Singer_ID = 1,0,1,no such table: singer,openai_compat,SELECT Song_Name FROM singer_songs WHERE Singer_ID = 1,ast,valid,1,0.9033,0.8923,0.87,0.833,1.0235,0.65875,openai_compat
cs_ts_04,TABLE_SPLIT,False,0,"SELECT Name, Country FROM singer ORDER BY Name, Country",1,"SELECT Name, Country FROM singer ORDER BY Name, Country",0,"SELECT Name, Country FROM singer_info ORDER BY Name, Country",1,"SELECT Name, Country FROM singer ORDER BY Name, Country",0,1,no such table: singer,openai_compat,"SELECT Name, Country FROM singer_info ORDER BY Name, Country",ast,valid,1,1.0537,0.8626,0.9363,1.0825,1.0316,0.96925,openai_compat
cs_ts_04,TABLE_SPLIT,False,1,"SELECT Name, Country FROM singer ORDER BY Name, Country",1,"SELECT Name, Country FROM singer ORDER BY Name, Country",0,"SELECT Name, Country FROM singer_info ORDER BY Name, Country",1,"SELECT Name, Country FROM singer ORDER BY Name, Country",0,1,no such table: singer,openai_compat,"SELECT Name, Country FROM singer_info ORDER BY Name, Country",ast,valid,1,0.7385,0.9072,0.8497,0.9436,1.0654,1.096333,openai_compat
cs_ts_04,TABLE_SPLIT,False,2,"SELECT Name, Country FROM singer ORDER BY Name, Country",1,"SELECT Name, Country FROM singer ORDER BY Name, Country",0,"SELECT Name, Country FROM singer_info ORDER BY Name, Country",1,"SELECT Name, Country FROM singer ORDER BY Name, Country",0,1,no such table: singer,openai_compat,"SELECT Name, Country FROM singer_info ORDER BY Name, Country",ast,valid,1,0.9086,0.8949,1.1728,0.9951,0.92,0.856208,openai_compat
cs_ts_05,TABLE_SPLIT,False,0,SELECT Name FROM singer WHERE Age > 40,1,SELECT Name FROM singer WHERE Age > 40,0,SELECT Name FROM singer_info WHERE Age > 40,1,SELECT Name FROM Singer WHERE Age > 40,0,1,no such table: singer,openai_compat,SELECT Name FROM singer_info WHERE Age > 40,ast,valid,1,0.8153,0.7759,0.8972,0.9094,0.9149,0.678834,openai_compat
cs_ts_05,TABLE_SPLIT,False,1,SELECT Name FROM singer WHERE Age > 40,1,SELECT Name FROM singer WHERE Age > 40,0,SELECT Name FROM singer_info WHERE Age > 40,1,SELECT Name FROM singer WHERE Age > 40,0,1,no such table: singer,openai_compat,SELECT Name FROM singer_info WHERE Age > 40,ast,valid,1,0.8055,0.7401,1.0125,0.9057,0.978,0.992125,openai_compat
cs_ts_05,TABLE_SPLIT,False,2,SELECT Name FROM singer WHERE Age > 40,1,SELECT Name FROM singer WHERE Age > 40,0,SELECT Name FROM singer_info WHERE Age > 40,1,SELECT Name FROM Singer WHERE Age > 40,0,1,no such table: singer,openai_compat,SELECT Name FROM singer_info WHERE Age > 40,ast,valid,1,1.0327,1.0093,0.9614,1.1102,0.8756,0.76575,openai_compat
cs_ts_06,TABLE_SPLIT,False,0,SELECT DISTINCT Song_release_year FROM singer WHERE Song_release_year >= 2010,1,SELECT DISTINCT Song_release_year FROM singer WHERE Song_release_year >= 2010,0,"SELECT DISTINCT Song_release_year 
FROM singer_songs 
WHERE Song_release_year >= 2010",1,SELECT DISTINCT Song_release_year FROM singer WHERE Song_release_year >= 2010,0,1,no such table: singer,openai_compat,"SELECT DISTINCT Song_release_year 
FROM singer_songs 
WHERE Song_release_year >= 2010",ast,valid,1,1.0154,0.8952,1.009,0.9745,1.1634,1.075167,openai_compat
cs_ts_06,TABLE_SPLIT,False,1,SELECT DISTINCT Song_release_year FROM singer WHERE Song_release_year >= 2010,1,SELECT DISTINCT Song_release_year FROM singer WHERE Song_release_year >= 2010,0,"SELECT DISTINCT Song_release_year 
FROM singer_songs 
WHERE Song_release_year >= 2010",1,SELECT DISTINCT Song_release_year FROM singer WHERE Song_release_year >= 2010,0,1,no such table: singer,openai_compat,"SELECT DISTINCT Song_release_year 
FROM singer_songs 
WHERE Song_release_year >= 2010",ast,valid,1,0.9471,1.4838,0.9409,0.9968,1.266,0.873167,openai_compat
cs_ts_06,TABLE_SPLIT,False,2,SELECT DISTINCT Song_release_year FROM singer WHERE Song_release_year >= 2010,1,SELECT DISTINCT Song_release_year FROM singer WHERE Song_release_year >= 2010,0,"SELECT DISTINCT Song_release_year 
FROM singer_songs 
WHERE Song_release_year >= 2010",1,SELECT DISTINCT Song_release_year FROM singer WHERE Song_release_year >= 2010,0,1,no such table: singer,openai_compat,"SELECT DISTINCT Song_release_year 
FROM singer_songs 
WHERE Song_release_year >= 2010",ast,valid,1,0.9234,0.9423,1.023,5.3723,1.1805,6.293667,openai_compat
cs_ts_07,TABLE_SPLIT,False,0,"SELECT Name, Song_Name FROM singer",1,"SELECT Name, Song_Name FROM singer",0,"SELECT si.Name, ss.Song_Name
FROM singer_info si
JOIN singer_songs ss ON si.Singer_ID = ss.Singer_ID",1,"SELECT Name, Song_Name FROM singer",0,1,no such table: singer,openai_compat,"SELECT singer_info.Name, singer_songs.Song_Name 
FROM singer_info 
JOIN singer_songs ON singer_info.Singer_ID = singer_songs.Singer_ID",ast,valid,1,0.7905,0.8476,1.0531,0.8024,1.4706,0.607375,openai_compat
