id,perturbation,question,gold_post,expected_failure,failure_reason,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,recovered,degraded,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
hr_cr_01,COLUMN_RENAME,List employee first and last names.,"SELECT fname, last_name FROM employees ORDER BY employee_id",False,,"SELECT first_name, last_name FROM employees",1,"SELECT first_name, last_name FROM employees",0,"SELECT fname, last_name FROM employees",1,"SELECT first_name, last_name FROM employees",0,1,no such column: first_name,gemini,"SELECT fname, last_name FROM employees",ast,valid,1,1,0,13.99,1.2829,1.2525,3.5482,0.0591,56.297185,gemini
hr_cr_02,COLUMN_RENAME,Count employees.,SELECT COUNT(*) FROM employees,False,,SELECT count(*) FROM employees,1,SELECT count(*) FROM employees,1,SELECT count(*) FROM employees,1,SELECT count(*) FROM employees,1,0,,gemini,SELECT COUNT(*) FROM employees,ast,valid,1,0,0,1.1941,1.1695,1.2927,0.0011,0.0021,0.641073,gemini
hr_cr_03,COLUMN_RENAME,Employees with salary over 7000.,SELECT employee_id FROM employees WHERE monthly_salary > 7000 ORDER BY employee_id,False,,"SELECT employee_id, first_name, last_name FROM employees WHERE salary > 7000",0,"SELECT employee_id, first_name, last_name FROM employees WHERE salary > 7000",0,"SELECT employee_id, fname, last_name FROM employees WHERE monthly_salary > 7000",0,SELECT employee_id FROM employees WHERE salary > 7000,0,1,no such column: first_name,gemini,"SELECT employee_id, fname, last_name FROM employees WHERE monthly_salary > 7000",ast,valid,0,0,0,1.2527,1.3555,1.4437,3.5386,0.0029,0.693701,gemini
hr_cr_04,COLUMN_RENAME,Average employee salary.,SELECT AVG(monthly_salary) FROM employees,False,,SELECT AVG(salary) FROM employees,1,SELECT AVG(salary) FROM employees,0,SELECT AVG(monthly_salary) FROM employees,1,SELECT AVG(salary) FROM employees,0,1,no such column: salary,gemini,SELECT AVG(monthly_salary) FROM employees,ast,valid,1,1,0,0.7764,1.1658,1.335,3.0172,0.002,0.542392,gemini
hr_cr_05,COLUMN_RENAME,List employee emails.,SELECT email FROM employees ORDER BY employee_id,False,,SELECT email FROM employees,1,SELECT email FROM employees,1,SELECT email FROM employees,1,SELECT email FROM employees,1,0,,gemini,SELECT email FROM employees,ast,valid,1,0,0,1.1391,1.0859,1.1739,0.0015,0.0022,0.5572,gemini
hr_cr_06,COLUMN_RENAME,List employee IDs with salaries.,"SELECT employee_id, monthly_salary FROM employees ORDER BY employee_id",False,,"SELECT employee_id, salary FROM employees",1,"SELECT employee_id, salary FROM employees",0,"SELECT employee_id, monthly_salary FROM employees",1,"SELECT employee_id, salary FROM employees",0,1,no such column: salary,gemini,"SELECT employee_id, monthly_salary FROM employees",ast,valid,1,1,0,1.2384,0.8459,0.8696,3.6692,0.0022,0.534066,gemini
hr_cr_07,COLUMN_RENAME,Employees with first names starting with A.,SELECT employee_id FROM employees WHERE fname LIKE 'A%',False,,SELECT first_name FROM employees WHERE first_name LIKE 'A%',0,SELECT first_name FROM employees WHERE first_name LIKE 'A%',0,SELECT fname FROM employees WHERE fname LIKE 'A%',0,SELECT first_name FROM employees WHERE first_name LIKE 'A%',0,1,no such column: first_name,gemini,SELECT fname FROM employees WHERE fname LIKE 'A%',ast,valid,0,0,0,1.1853,1.1629,1.1536,3.3632,0.0031,1.159309,gemini
hr_cr_08,COLUMN_RENAME,Employees with commissions.,SELECT employee_id FROM employees WHERE commission_pct IS NOT NULL ORDER BY employee_id,False,,"SELECT employee_id, first_name, last_name FROM employees WHERE commission_pct IS NOT NULL",0,"SELECT employee_id, first_name, last_name FROM employees WHERE commission_pct IS NOT NULL",0,"SELECT employee_id, fname, last_name
FROM employees
WHERE commission_pct IS NOT NULL",0,SELECT employee_id FROM employees WHERE commission_pct IS NOT NULL,1,1,no such column: first_name,gemini,"SELECT employee_id, fname, last_name FROM employees WHERE NOT commission_pct IS NULL",ast,silent_failure_suspected,0,0,0,1.1504,0.9412,1.3255,3.5556,3.0589,0.686584,gemini
hr_cr_09,COLUMN_RENAME,Job title for employee 1.,SELECT j.job_title FROM employees e JOIN jobs j ON e.job_id=j.job_id WHERE e.employee_id=1,False,,SELECT T2.job_title FROM employees AS T1 INNER JOIN jobs AS T2 ON T1.job_id = T2.job_id WHERE T1.employee_id = 1,1,SELECT T2.job_title FROM employees AS T1 INNER JOIN jobs AS T2 ON T1.job_id = T2.job_id WHERE T1.employee_id = 1,1,SELECT T2.job_title FROM employees AS T1 INNER JOIN jobs AS T2 ON T1.job_id = T2.job_id WHERE T1.employee_id = 1,1,SELECT T2.job_title FROM employees AS T1 INNER JOIN jobs AS T2 ON T1.job_id = T2.job_id WHERE T1.employee_id = 1,1,0,,gemini,SELECT T2.job_title FROM employees AS T1 INNER JOIN jobs AS T2 ON T1.job_id = T2.job_id WHERE T1.employee_id = 1,ast,valid,1,0,0,1.6,1.7617,1.357,0.0012,0.0029,0.987438,gemini
hr_cr_10,COLUMN_RENAME,Count employees per department.,"SELECT department_id, COUNT(*) FROM employees GROUP BY department_id ORDER BY department_id",False,,"ite
SELECT T2.department_name, COUNT(T1.employee_id) FROM employees AS T1 INNER JOIN departments AS T2 ON T1.department_id = T2.department_id GROUP BY T2.department_name",0,"SELECT T2.department_name, COUNT(T1.employee_id) FROM employees AS T1 INNER JOIN departments AS T2 ON T1.department_id = T2.department_id GROUP BY T2.department_name",0,"SELECT d.department_name, COUNT(e.employee_id) AS num_employees FROM employees AS e JOIN departments AS d ON e.department_id = d.department_id GROUP BY d.department_name",0,"SELECT T2.department_name, COUNT(T1.employee_id) FROM employees AS T1 INNER JOIN departments AS T2 ON T1.department_id = T2.department_id GROUP BY T2.department_name",0,0,,gemini,"SELECT T2.department_name, COUNT(T1.employee_id) FROM employees AS T1 INNER JOIN departments AS T2 ON T1.department_id = T2.department_id GROUP BY T2.department_name",ast,valid,0,0,0,1.5703,1.4628,1.1773,0.0012,0.0123,1.366637,gemini
hr_cr_11,COLUMN_RENAME,Employees managed by 1.,SELECT employee_id FROM employees WHERE manager_id=1 ORDER BY employee_id,False,,SELECT * FROM employees WHERE manager_id = 1,0,SELECT * FROM employees WHERE manager_id = 1,0,SELECT * FROM employees WHERE manager_id = 1,0,SELECT * FROM employees WHERE manager_id = 1,0,0,,gemini,SELECT * FROM employees WHERE manager_id = 1,ast,valid,0,0,0,1.3548,1.4331,1.0783,0.0015,0.0025,0.653662,gemini
hr_cr_12,COLUMN_RENAME,Employees hired after 2007-06-20.,SELECT employee_id FROM employees WHERE hire_date > '2007-06-20' ORDER BY employee_id,False,,"SELECT employee_id, first_name, last_name FROM employees WHERE hire_date > '2007-06-20'",0,"SELECT employee_id, first_name, last_name FROM employees WHERE hire_date > '2007-06-20'",0,"SELECT employee_id, fname, last_name FROM employees WHERE hire_date > '2007-06-20'",0,"SELECT employee_id, first_name, last_name FROM employees WHERE hire_date > '2007-06-20'",0,1,no such column: first_name,gemini,"SELECT employee_id, fname, last_name FROM employees WHERE hire_date > '200",ast,execution_error,0,0,0,1.3049,1.1372,1.2393,1.0376,3.4909,0.808495,gemini
hr_cr_13,COLUMN_RENAME,List employees by salary descending.,"SELECT fname, monthly_salary FROM employees ORDER BY monthly_salary DESC",False,,SELECT * FROM employees ORDER BY salary DESC,0,SELECT * FROM employees ORDER BY salary DESC,0,"SELECT fname, last_name FROM employees ORDER BY monthly_salary DESC",0,"SELECT employee_id, first_name, last_name, email, phone_number,",0,1,no such column: salary,gemini,SELECT * FROM employees ORDER BY monthly_salary DESC,ast,valid,0,0,0,0.9251,1.3135,1.2872,3.787,0.0026,0.677785,gemini
hr_cr_14,COLUMN_RENAME,Count employees with salary between 6000 and 8000.,SELECT COUNT(*) FROM employees WHERE monthly_salary BETWEEN 6000 AND 8000,False,,SELECT count(*) FROM employees WHERE salary BETWEEN 6000 AND 8000,1,SELECT count(*) FROM employees WHERE salary BETWEEN 6000 AND 8000,0,SELECT count(*) FROM employees WHERE monthly_salary BETWEEN 6000 AND 8000,1,SELECT count(*) FROM employees WHERE salary BETWEEN 6000 AND 8000,0,1,no such column: salary,gemini,SELECT COUNT(*) FROM employees WHERE monthly_salary BETWEEN 6000 AND 8000,ast,valid,1,1,0,1.2362,1.2657,1.1392,3.3425,0.0023,0.693445,gemini
hr_cr_15,COLUMN_RENAME,List region names.,SELECT region_name FROM regions ORDER BY region_id,False,,SELECT region_name FROM regions,1,SELECT region_name FROM regions,1,SELECT region_name FROM regions,1,SELECT region_name FROM regions,1,0,,gemini,SELECT region_name FROM regions,ast,valid,1,0,0,0.8127,0.8177,1.2773,0.0014,0.0026,0.46457,gemini
hr_cr_16,COLUMN_RENAME,Count jobs.,SELECT COUNT(*) FROM jobs,False,,SELECT count(*) FROM jobs,1,SELECT count(*) FROM jobs,1,SELECT count(*) FROM jobs,1,SELECT count(*) FROM jobs,1,0,,gemini,SELECT COUNT(*) FROM jobs,ast,valid,1,0,0,1.1327,1.1681,1.3268,0.001,0.0022,0.542762,gemini
