id,perturbation,question,expected_failure,sanity_sql,sanity_ok,sanity_latency_s,sanity_tokens_in,sanity_tokens_out,canonical_baseline_ok,canonical_mcp_ok,diff_sql,diff_ok,diff_latency_s,diff_tokens_in,diff_tokens_out,vendor_sql,vendor_ok,vendor_latency_s,vendor_tokens_in,vendor_tokens_out,vendor_n_api_calls,vendor_n_tool_calls,vendor_capped,tool_calls_json,backend
cs_tr_01,TABLE_RENAME,List all singer names.,False,SELECT Name FROM singer,0,2.7568,155,9,0,1,SELECT Name FROM artist,1,1.3597,224,9,SELECT Name FROM artist,1,13.4826,2206,52,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT Name FROM singer;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT Name FROM artist""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
cs_tr_02,TABLE_RENAME,Count singers from France.,False,SELECT COUNT(*) FROM singer WHERE Country = 'France',0,1.2931,155,15,0,1,SELECT COUNT(*) FROM artist WHERE Country = 'France',1,1.3286,224,15,SELECT COUNT(*) FROM artist WHERE Country = 'France',1,3.9351,1700,89,3,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT COUNT(*) FROM singer WHERE Country = 'France'""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT COUNT(*) FROM artist WHERE Country = 'France'""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
cs_tr_03,TABLE_RENAME,Find the song name for Singer_ID 1.,False,SELECT Song_Name FROM singer WHERE Singer_ID = 1,0,1.2263,160,16,0,1,SELECT Song_Name FROM artist WHERE Singer_ID = 1,1,1.0144,229,16,SELECT Song_Name FROM artist WHERE Singer_ID = 1,1,11.4005,2261,73,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT Song_Name FROM singer WHERE Singer_ID = 1;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT Song_Name FROM artist WHERE Singer_ID = 1""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
cs_tr_04,TABLE_RENAME,List singer names with age over 40.,False,SELECT Name FROM singer WHERE Age > 40,0,0.8513,159,14,0,1,SELECT Name FROM artist WHERE Age > 40,1,0.925,228,14,SELECT Name FROM artist WHERE Age > 40,1,4.2968,2247,67,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT Name FROM singer WHERE Age > 40;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT Name FROM artist WHERE Age > 40""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
cs_tr_05,TABLE_RENAME,Count male singers.,False,SELECT COUNT(*) FROM singer WHERE Is_male = 'yes',0,1.7367,154,17,0,0,SELECT COUNT(*) FROM artist WHERE Is_male = 'yes',0,1.1606,223,17,SELECT COUNT(*) FROM artist WHERE Is_male = 'yes',0,8.9282,1718,95,3,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT COUNT(*) FROM singer WHERE Is_male = 'yes'""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT COUNT(*) FROM artist WHERE Is_male = 'yes'""}, ""result"": {""verdict"": ""silent_failure_suspected"", ""reason"": ""empty_result_on_affirmative_question""}}]",openai_compat
cs_tr_06,TABLE_RENAME,List song release years since 2010.,False,SELECT DISTINCT Song_release_year FROM singer WHERE Song_release_year >= 2010,0,0.9798,159,20,0,1,SELECT Song_release_year FROM artist WHERE Song_release_year > 2010,1,0.9936,228,19,SELECT Song_release_year FROM artist WHERE Song_release_year > 2010,1,4.187,2272,82,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT Song_release_year FROM singer WHERE Song_release_year > 2010;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT Song_release_year FROM artist WHERE Song_release_year > 2010""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
cs_tr_07,TABLE_RENAME,List singer names and countries alphabetically.,False,"SELECT Name, Country FROM singer ORDER BY Name, Country",0,1.6072,158,16,0,1,"SELECT Name, Country FROM artist ORDER BY Name, Country",1,1.301,227,16,"SELECT Name, Country FROM artist ORDER BY Name, Country",1,4.9029,2253,73,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT Name, Country FROM singer ORDER BY Name, Country;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT Name, Country FROM artist ORDER BY Name, Country""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
cs_tr_08,TABLE_RENAME,Which singers performed in concert 1?,False,"SELECT s.Name 
FROM singer s
JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID
WHERE sic.Concert_ID = 1",0,5.5885,158,38,0,1,"SELECT a.Name 
FROM artist a
JOIN singer_in_concert sic ON a.Singer_ID = sic.Singer_ID
WHERE sic.Concert_ID = 1",1,1.1764,227,38,SELECT Name FROM artist WHERE Singer_ID IN (SELECT Singer_ID FROM singer_in_concert WHERE Concert_ID = 1),1,4.2101,2314,111,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT Name FROM singer WHERE Singer_ID IN (SELECT Singer_ID FROM singer_in_concert WHERE Concert_ID = 1)""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT Name FROM artist WHERE Singer_ID IN (SELECT Singer_ID FROM singer_in_concert WHERE Concert_ID = 1)""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
cs_tr_09,TABLE_RENAME,Count concerts per singer.,False,"SELECT s.Name, COUNT(sic.Concert_ID) AS Concert_Count
FROM singer s
LEFT JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID
GROUP BY s.Singer_ID",0,1.3465,155,48,0,1,"SELECT a.Name, COUNT(sic.Concert_ID) AS Concert_Count
FROM artist a
JOIN singer_in_concert sic ON a.Singer_ID = sic.Singer_ID
GROUP BY a.Singer_ID",1,1.65,224,47,"SELECT s.Singer_ID, COUNT(c.Concert_ID) AS Concert_Count FROM artist AS s JOIN singer_in_concert AS sic ON s.Singer_ID = sic.Singer_ID JOIN concert AS c ON sic.Concert_ID = c.Concert_ID GROUP BY s.Singer_ID",0,5.3511,2460,205,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT s.Singer_ID, COUNT(c.Concert_ID) AS Concert_Count FROM singer s JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID JOIN concert c ON sic.Concert_ID = c.Concert_ID GROUP BY s.Singer_ID;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT s.Singer_ID, COUNT(c.Concert_ID) AS Concert_Count FROM artist AS s JOIN singer_in_concert AS sic ON s.Singer_ID = sic.Singer_ID JOIN concert AS c ON sic.Concert_ID = c.Concert_ID GROUP BY s.Singer_ID""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
cs_tr_10,TABLE_RENAME,List songs by French singers.,False,"SELECT Song_Name 
FROM singer 
WHERE Country = 'France'",0,0.8962,156,17,0,0,"SELECT Song_Name 
FROM artist 
WHERE Country = 'France'",0,1.0783,225,17,SELECT Song_Name FROM artist WHERE Country = 'France',0,4.2805,2241,72,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT Song_Name FROM singer WHERE Country = 'France'""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT Song_Name FROM artist WHERE Country = 'France'""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
cs_tr_11,TABLE_RENAME,Average age of French singers.,False,SELECT AVG(Age) FROM singer WHERE Country = 'France',0,1.2952,156,17,0,1,SELECT AVG(Age) FROM artist WHERE Country = 'France',1,0.9431,225,17,SELECT AVG(Age) FROM artist WHERE Country = 'France',1,3.285,1721,95,3,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT AVG(Age) FROM singer WHERE Country = 'France'""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT AVG(Age) FROM artist WHERE Country = 'France'""}, ""result"": {""verdict"": ""silent_failure_suspected"", ""reason"": ""low_semantic_similarity""}}]",openai_compat
