id,perturbation,expected_failure,seed,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
cs_cr_01,COLUMN_RENAME,False,0,SELECT Song_Name FROM singer,1,SELECT Song_Name FROM singer,0,SELECT DISTINCT song_title FROM singer,1,SELECT Song_name FROM singer,0,1,no such column: Song_Name,openai_compat,SELECT song_title FROM singer,ast,valid,1,1.1644,1.0374,1.0093,0.9318,0.0705,0.744125,openai_compat
cs_cr_01,COLUMN_RENAME,False,1,SELECT Song_Name FROM singer,1,SELECT Song_Name FROM singer,0,SELECT song_title FROM singer,1,SELECT Song_name FROM singer,0,1,no such column: Song_Name,openai_compat,SELECT song_title FROM singer,ast,valid,1,0.9752,0.8827,0.881,1.0743,0.0487,1.061625,openai_compat
cs_cr_01,COLUMN_RENAME,False,2,SELECT Song_Name FROM singer,1,SELECT Song_Name FROM singer,0,SELECT DISTINCT song_title FROM singer,1,SELECT Song_name FROM singer,0,1,no such column: Song_Name,openai_compat,SELECT song_title FROM singer,ast,valid,1,1.1629,0.8989,1.3267,0.8765,0.0495,0.795083,openai_compat
cs_cr_02,COLUMN_RENAME,False,0,SELECT COUNT(*) FROM singer WHERE Song_release_year > 2010,1,SELECT COUNT(*) FROM singer WHERE Song_release_year > 2010,0,SELECT COUNT(*) FROM singer WHERE debut_year > 2010,1,SELECT COUNT(*) FROM singer WHERE Song_release_year > 2010,0,1,no such column: Song_release_year,openai_compat,SELECT COUNT(*) FROM singer WHERE debut_year > 2010,ast,valid,1,1.0337,1.5373,1.0683,1.1869,0.054,1.159625,openai_compat
cs_cr_02,COLUMN_RENAME,False,1,SELECT COUNT(*) FROM singer WHERE Song_release_year > 2010,1,SELECT COUNT(*) FROM singer WHERE Song_release_year > 2010,0,SELECT COUNT(*) FROM singer WHERE debut_year > 2010,1,SELECT COUNT(*) FROM singer WHERE Song_release_year > 2010,0,1,no such column: Song_release_year,openai_compat,SELECT COUNT(*) FROM singer WHERE debut_year > 2010,ast,valid,1,1.0664,0.9252,0.9349,1.0599,0.0505,1.376958,openai_compat
cs_cr_02,COLUMN_RENAME,False,2,SELECT COUNT(*) FROM singer WHERE Song_release_year > 2010,1,SELECT COUNT(*) FROM singer WHERE Song_release_year > 2010,0,SELECT COUNT(*) FROM singer WHERE debut_year > 2010,1,SELECT COUNT(*) FROM singer WHERE Song_release_year > 2010,0,1,no such column: Song_release_year,openai_compat,SELECT COUNT(*) FROM singer WHERE debut_year > 2010,ast,valid,1,2.4772,1.198,1.1031,1.029,0.0508,1.350667,openai_compat
cs_cr_03,COLUMN_RENAME,False,0,"SELECT singer.Name, singer.Song_Name
FROM singer",1,"SELECT Name, Song_Name FROM singer",0,"SELECT Name, song_title FROM singer",1,"SELECT Name, Song_name FROM singer",0,1,no such column: Song_Name,openai_compat,"SELECT Name, song_title FROM singer",ast,valid,1,0.9204,1.0136,0.8992,1.114,0.0518,1.045,openai_compat
cs_cr_03,COLUMN_RENAME,False,1,"SELECT singer.Name, singer.Song_Name FROM singer",1,"SELECT Name, Song_Name FROM singer",0,"SELECT Name, song_title FROM singer",1,"SELECT Name, Song_Name FROM singer",0,1,no such column: Song_Name,openai_compat,"SELECT Name, song_title FROM singer",ast,valid,1,1.0348,0.8961,1.0227,0.9188,0.0454,1.126167,openai_compat
cs_cr_03,COLUMN_RENAME,False,2,"SELECT Name, Song_Name FROM singer",1,"SELECT Name, Song_Name FROM singer",0,"SELECT Name, song_title FROM singer",1,"SELECT Name, Song_name FROM singer",0,1,no such column: Song_Name,openai_compat,"SELECT Name, song_title FROM singer",ast,valid,1,1.0705,0.9247,1.3494,1.0136,0.0495,0.978041,openai_compat
cs_cr_04,COLUMN_RENAME,False,0,"SELECT Name 
FROM singer 
WHERE Song_Name = 'Sun'",1,SELECT Name FROM singer WHERE Song_Name = 'Sun',0,SELECT Name FROM singer WHERE song_title = 'Sun',1,SELECT Name FROM singer WHERE Song_Name = 'Sun',0,1,no such column: Song_Name,openai_compat,SELECT Name FROM singer WHERE song_title = 'Sun',ast,valid,1,0.9647,0.9592,1.1469,1.0734,0.0529,0.993416,openai_compat
cs_cr_04,COLUMN_RENAME,False,1,SELECT Name FROM singer WHERE Song_Name = 'Sun',1,"SELECT Name 
FROM singer 
WHERE Song_Name = 'Sun'",0,SELECT Name FROM singer WHERE song_title = 'Sun',1,"SELECT Name 
FROM singer 
WHERE Song_Name = 'Sun'",0,1,no such column: Song_Name,openai_compat,SELECT Name FROM singer WHERE song_title = 'Sun',ast,valid,1,0.9899,0.9852,0.9401,1.1367,0.0478,0.955167,openai_compat
