id,perturbation,question,gold_post,expected_failure,failure_reason,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,recovered,degraded,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
cs_cr_01,COLUMN_RENAME,List song titles.,SELECT song_title FROM singer ORDER BY Singer_ID,False,,SELECT Song_Name FROM singer,1,SELECT Song_Name FROM singer,0,SELECT song_title FROM singer,1,SELECT Song_Name FROM singer,0,1,no such column: Song_Name,openai_compat,SELECT song_title FROM singer,ast,valid,1,1,0,1.5335,1.968,0.6261,0.6676,0.0017,0.475852,openai_compat
cs_cr_02,COLUMN_RENAME,Count songs released after 2010.,SELECT COUNT(*) FROM singer WHERE debut_year > 2010,False,,SELECT COUNT Song_Name FROM singer WHERE Song_release_year > 2010,0,SELECT COUNT Song_Name FROM singer WHERE Song_release_year > 2010,0,SELECT COUNT(song_title) FROM singer WHERE debut_year > 2010,1,SELECT COUNT(Song_Name) FROM singer WHERE Song_release_year > 2010,0,1,no such column: COUNT,openai_compat,SELECT song_title AS Song_Name FROM singer WHERE debut_year > 2010,ast,valid,0,0,0,1.2976,0.8005,1.0583,1.1667,1.0328,24.077971,openai_compat
cs_cr_03,COLUMN_RENAME,List singer names with song titles.,"SELECT Name, song_title FROM singer ORDER BY Singer_ID",False,,"SELECT Name, Song_Name FROM singer",1,"SELECT Name, Song_Name FROM singer",0,"SELECT Name, song_title FROM singer",1,"SELECT Name, Song_Name FROM singer",0,1,no such column: Song_Name,openai_compat,"SELECT Name, song_title FROM singer",ast,valid,1,1,0,1.0625,1.3113,1.1596,1.2404,0.002,0.529367,openai_compat
cs_cr_04,COLUMN_RENAME,Singer for the song 'Sun'.,SELECT Name FROM singer WHERE song_title='Sun',False,,SELECT Name FROM singer WHERE Song_Name = 'Sun',1,SELECT Name FROM singer WHERE Song_Name = 'Sun',0,SELECT Name FROM singer WHERE song_title = 'Sun',1,SELECT Name FROM singer WHERE Song_Name = 'Sun',0,1,no such column: Song_Name,openai_compat,SELECT Name FROM singer WHERE song_title = 'Sun',ast,valid,1,1,0,0.8309,0.8643,1.151,0.677,0.0284,26.659219,openai_compat
cs_cr_05,COLUMN_RENAME,Average debut year.,SELECT AVG(debut_year) FROM singer,False,,SELECT AVG(Song_release_year) FROM singer,1,SELECT AVG(Song_release_year) FROM singer,0,SELECT AVG(debut_year) FROM singer,1,SELECT AVG(Song_release_year) FROM singer WHERE Song_release_year IS NOT NULL,0,1,no such column: Song_release_year,openai_compat,SELECT AVG(debut_year) FROM singer,ast,valid,1,1,0,0.7144,0.5242,0.8179,1.2547,0.0018,0.633884,openai_compat
cs_cr_06,COLUMN_RENAME,List singer IDs and debut years.,"SELECT Singer_ID, debut_year FROM singer ORDER BY Singer_ID",False,,"SELECT Singer_ID, Song_release_year FROM singer",1,"SELECT Singer_ID, Song_release_year FROM singer",0,"SELECT Singer_ID, debut_year FROM singer",1,"SELECT Singer_ID, Song_release_year FROM singer",0,1,no such column: Song_release_year,openai_compat,"SELECT Singer_ID, debut_year FROM singer",ast,valid,1,1,0,2.1172,1.1068,1.2744,1.102,0.0022,0.524199,openai_compat
cs_cr_07,COLUMN_RENAME,Songs released between 2000 and 2014.,SELECT song_title FROM singer WHERE debut_year BETWEEN 2000 AND 2014 ORDER BY song_title,False,,SELECT Song_Name FROM singer WHERE Song_release_year BETWEEN 2000 AND 2014,1,SELECT Song_Name FROM singer WHERE Song_release_year BETWEEN 2000 AND 2014,0,SELECT song_title FROM singer WHERE debut_year BETWEEN 2000 AND 2014,1,SELECT Song_Name FROM singer WHERE Song_release_year BETWEEN 2000 AND 2014,0,1,no such column: Song_Name,openai_compat,SELECT song_title FROM singer WHERE debut_year BETWEEN 2000 AND 2014,ast,valid,1,1,0,4.0865,0.9872,0.7194,0.8472,0.003,0.788864,openai_compat
cs_cr_08,COLUMN_RENAME,Singers with songs released in 2014.,SELECT Name FROM singer WHERE debut_year=2014,False,,SELECT Name FROM singer WHERE Song_release_year = 2014,1,SELECT Name FROM singer WHERE Song_release_year = 2014,0,SELECT Name FROM singer WHERE debut_year = 2014,1,SELECT Name FROM singer WHERE Song_release_year = '2014',0,1,no such column: Song_release_year,openai_compat,SELECT Name FROM singer WHERE debut_year = 2014,ast,valid,1,1,0,0.7403,0.8654,1.4935,2.8879,0.0024,0.680349,openai_compat
cs_cr_09,COLUMN_RENAME,Count distinct song titles.,SELECT COUNT(DISTINCT song_title) FROM singer,False,,SELECT COUNT(DISTINCT Song_Name) FROM singer,1,SELECT COUNT(DISTINCT Song_Name) FROM singer,0,SELECT COUNT(DISTINCT song_title) FROM singer,1,SELECT COUNT(DISTINCT Song_Name) FROM singer,0,1,no such column: Song_Name,openai_compat,SELECT COUNT(DISTINCT song_title) FROM singer,ast,silent_failure_suspected,1,1,0,2.7032,0.9949,2.5454,1.3539,0.8154,0.76385,openai_compat
cs_cr_10,COLUMN_RENAME,Song titles by French singers.,SELECT song_title FROM singer WHERE Country='France' ORDER BY song_title,False,,SELECT Song_Name FROM singer WHERE Country = 'France',1,SELECT Song_Name FROM singer WHERE Country = 'France',0,SELECT song_title FROM singer WHERE Country = 'France',1,SELECT Song_Name FROM singer WHERE Country = 'France',0,1,no such column: Song_Name,openai_compat,SELECT song_title FROM singer WHERE Country = 'France',ast,valid,1,1,0,1.2342,1.4965,0.8768,1.4242,0.0023,0.599468,openai_compat
