id,perturbation,expected_failure,seed,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
cs_tm_01,TABLE_MERGE,False,0,"SELECT c.concert_Name, sic.Singer_ID
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
ORDER BY c.concert_Name, sic.Singer_ID",1,"SELECT c.concert_Name, sic.Singer_ID
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
ORDER BY c.concert_Name, sic.Singer_ID",0,"SELECT concert_Name, Singer_ID FROM concert_performance",1,"SELECT c.concert_Name, sic.Singer_ID
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
ORDER BY c.concert_Name, sic.Singer_ID",0,1,no such table: concert,anthropic,"SELECT concert_Name, Singer_ID FROM concert_performance ORDER BY concert_Name, Singer_ID",ast,valid,1,1.1574,1.1099,1.2873,1.145,1.0982,7.344958,anthropic
cs_tm_01,TABLE_MERGE,False,1,"SELECT c.concert_Name, sic.Singer_ID
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
ORDER BY c.concert_Name, sic.Singer_ID",1,"SELECT c.concert_Name, sic.Singer_ID
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
ORDER BY c.concert_Name, sic.Singer_ID",0,"SELECT concert_Name, Singer_ID FROM concert_performance",1,"SELECT c.concert_Name, sic.Singer_ID
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
ORDER BY c.concert_Name, sic.Singer_ID",0,1,no such table: concert,anthropic,"SELECT concert_Name, Singer_ID FROM concert_performance ORDER BY concert_Name, Singer_ID",ast,valid,1,1.1407,1.304,1.0147,1.7458,1.1449,4.646666,anthropic
cs_tm_01,TABLE_MERGE,False,2,"SELECT c.concert_Name, sic.Singer_ID
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
ORDER BY c.concert_Name, sic.Singer_ID",1,"SELECT c.concert_Name, sic.Singer_ID
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
ORDER BY c.concert_Name, sic.Singer_ID",0,"SELECT concert_Name, Singer_ID FROM concert_performance",1,"SELECT c.concert_Name, sic.Singer_ID
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
ORDER BY c.concert_Name, sic.Singer_ID",0,1,no such table: concert,anthropic,"SELECT concert_Name, Singer_ID FROM concert_performance ORDER BY concert_Name, Singer_ID",ast,valid,1,1.0835,1.2978,1.7036,1.075,1.1694,7.78225,anthropic
cs_tm_01,TABLE_MERGE,False,3,"SELECT c.concert_Name, sic.Singer_ID
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
ORDER BY c.concert_Name, sic.Singer_ID",1,"SELECT c.concert_Name, sic.Singer_ID
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
ORDER BY c.concert_Name, sic.Singer_ID",0,"SELECT concert_Name, Singer_ID FROM concert_performance",1,"SELECT c.concert_Name, sic.Singer_ID
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
ORDER BY c.concert_Name, sic.Singer_ID",0,1,no such table: concert,anthropic,"SELECT concert_Name, Singer_ID FROM concert_performance ORDER BY concert_Name, Singer_ID",ast,valid,1,1.286,1.1866,1.1153,1.2232,1.1284,7.334875,anthropic
cs_tm_01,TABLE_MERGE,False,4,"SELECT c.concert_Name, sic.Singer_ID
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
ORDER BY c.concert_Name, sic.Singer_ID",1,"SELECT c.concert_Name, sic.Singer_ID
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
ORDER BY c.concert_Name, sic.Singer_ID",0,"SELECT concert_Name, Singer_ID FROM concert_performance",1,"SELECT c.concert_Name, sic.Singer_ID
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
ORDER BY c.concert_Name, sic.Singer_ID",0,1,no such table: concert,anthropic,"SELECT concert_Name, Singer_ID FROM concert_performance ORDER BY concert_Name, Singer_ID",ast,valid,1,1.1196,1.3595,1.1565,1.0348,1.4553,4.88525,anthropic
cs_tm_02,TABLE_MERGE,False,0,"SELECT 
    c.Concert_ID,
    c.concert_Name,
    COUNT(s.Singer_ID) as singer_count
FROM concert c
LEFT JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
LEFT JOIN singer s ON sic.Singer_ID = s.Singer_ID
GROUP BY c.Concert_ID, c.concert_Name
ORDER BY c.Concert_ID",0,"SELECT 
    c.Concert_ID,
    c.concert_Name,
    COUNT(s.Singer_ID) as singer_count
FROM concert c
LEFT JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
LEFT JOIN singer s ON sic.Singer_ID = s.Singer_ID
GROUP BY c.Concert_ID, c.concert_Name
ORDER BY c.Concert_ID",0,"SELECT 
    cp.Concert_ID,
    cp.concert_Name,
    COUNT(DISTINCT cp.Singer_ID) AS singer_count
FROM concert_performance cp
GROUP BY cp.Concert_ID, cp.concert_Name
ORDER BY cp.Concert_ID",0,"SELECT 
    c.Concert_ID,
    c.concert_Name,
    COUNT(s.Singer_ID) as singer_count
FROM concert c
LEFT JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
LEFT JOIN singer s ON sic.Singer_ID = s.Singer_ID
GROUP BY c.Concert_ID, c.concert_Name
ORDER BY c.Concert_ID",0,1,no such table: concert,anthropic,"SELECT cp.Concert_ID, cp.concert_Name, COUNT(DISTINCT cp.Singer_ID) AS singer_count FROM concert_performance AS cp LEFT JOIN singer AS s ON cp.Singer_ID = s.Singer_ID GROUP BY cp.Concert_ID, cp.concert_Name ORDER BY cp.Concert_ID",ast,valid,0,1.6099,1.2829,1.0968,1.2888,2.5275,7.2,anthropic
cs_tm_02,TABLE_MERGE,False,1,"SELECT 
    c.Concert_ID,
    c.concert_Name,
    COUNT(s.Singer_ID) as singer_count
FROM concert c
LEFT JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
LEFT JOIN singer s ON sic.Singer_ID = s.Singer_ID
GROUP BY c.Concert_ID, c.concert_Name
ORDER BY c.Concert_ID",0,"SELECT 
    c.Concert_ID,
    c.concert_Name,
    COUNT(s.Singer_ID) as singer_count
FROM concert c
LEFT JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
LEFT JOIN singer s ON sic.Singer_ID = s.Singer_ID
GROUP BY c.Concert_ID, c.concert_Name
ORDER BY c.Concert_ID",0,"SELECT 
    cp.Concert_ID,
    cp.concert_Name,
    COUNT(DISTINCT cp.Singer_ID) AS singer_count
FROM concert_performance cp
GROUP BY cp.Concert_ID, cp.concert_Name
ORDER BY cp.Concert_ID",0,"SELECT 
    c.Concert_ID,
    c.concert_Name,
    COUNT(s.Singer_ID) as singer_count
FROM concert c
LEFT JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
LEFT JOIN singer s ON sic.Singer_ID = s.Singer_ID
GROUP BY c.Concert_ID, c.concert_Name
ORDER BY c.Concert_ID",0,1,no such table: concert,anthropic,"SELECT cp.Concert_ID, cp.concert_Name, COUNT(DISTINCT cp.Singer_ID) AS singer_count FROM concert_performance AS cp LEFT JOIN singer AS s ON cp.Singer_ID = s.Singer_ID GROUP BY cp.Concert_ID, cp.concert_Name ORDER BY cp.Concert_ID",ast,valid,0,1.27,1.2814,1.2448,1.4604,1.3077,2.049209,anthropic
cs_tm_02,TABLE_MERGE,False,2,"SELECT 
    c.Concert_ID,
    c.concert_Name,
    COUNT(s.Singer_ID) as singer_count
FROM concert c
LEFT JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
LEFT JOIN singer s ON sic.Singer_ID = s.Singer_ID
GROUP BY c.Concert_ID, c.concert_Name
ORDER BY c.Concert_ID",0,"SELECT 
    c.Concert_ID,
    c.concert_Name,
    COUNT(s.Singer_ID) as singer_count
FROM concert c
LEFT JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
LEFT JOIN singer s ON sic.Singer_ID = s.Singer_ID
GROUP BY c.Concert_ID, c.concert_Name
ORDER BY c.Concert_ID",0,"SELECT 
    cp.Concert_ID,
    cp.concert_Name,
    COUNT(DISTINCT cp.Singer_ID) as singer_count
FROM concert_performance cp
GROUP BY cp.Concert_ID, cp.concert_Name
ORDER BY cp.Concert_ID",0,"SELECT 
    c.Concert_ID,
    c.concert_Name,
    COUNT(s.Singer_ID) as singer_count
FROM concert c
LEFT JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
LEFT JOIN singer s ON sic.Singer_ID = s.Singer_ID
GROUP BY c.Concert_ID, c.concert_Name
ORDER BY c.Concert_ID",0,1,no such table: concert,anthropic,"SELECT cp.Concert_ID, cp.concert_Name, COUNT(DISTINCT cp.Singer_ID) AS singer_count FROM concert_performance AS cp LEFT JOIN singer AS s ON cp.Singer_ID = s.Singer_ID GROUP BY cp.Concert_ID, cp.concert_Name ORDER BY cp.Concert_ID",ast,valid,0,1.322,1.4064,1.346,2.3515,1.848,1.944834,anthropic
cs_tm_02,TABLE_MERGE,False,3,"SELECT 
    c.Concert_ID,
    c.concert_Name,
    COUNT(s.Singer_ID) as singer_count
FROM concert c
LEFT JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
LEFT JOIN singer s ON sic.Singer_ID = s.Singer_ID
GROUP BY c.Concert_ID, c.concert_Name
ORDER BY c.Concert_ID",0,"SELECT 
    c.Concert_ID,
    c.concert_Name,
    COUNT(s.Singer_ID) as singer_count
FROM concert c
LEFT JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
LEFT JOIN singer s ON sic.Singer_ID = s.Singer_ID
GROUP BY c.Concert_ID, c.concert_Name
ORDER BY c.Concert_ID",0,"SELECT 
    cp.Concert_ID,
    cp.concert_Name,
    COUNT(DISTINCT cp.Singer_ID) AS singer_count
FROM concert_performance cp
GROUP BY cp.Concert_ID, cp.concert_Name
ORDER BY cp.Concert_ID",0,"SELECT 
    c.Concert_ID,
    c.concert_Name,
    COUNT(s.Singer_ID) as singer_count
FROM concert c
LEFT JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
LEFT JOIN singer s ON sic.Singer_ID = s.Singer_ID
GROUP BY c.Concert_ID, c.concert_Name
ORDER BY c.Concert_ID",0,1,no such table: concert,anthropic,"SELECT cp.Concert_ID, cp.concert_Name, COUNT(DISTINCT cp.Singer_ID) AS singer_count FROM concert_performance AS cp LEFT JOIN singer AS s ON cp.Singer_ID = s.Singer_ID GROUP BY cp.Concert_ID, cp.concert_Name ORDER BY cp.Concert_ID",ast,valid,0,1.3179,1.3184,1.2247,1.2943,1.8388,7.611,anthropic
cs_tm_02,TABLE_MERGE,False,4,"SELECT 
    c.Concert_ID,
    c.concert_Name,
    COUNT(s.Singer_ID) as singer_count
FROM concert c
LEFT JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
LEFT JOIN singer s ON sic.Singer_ID = s.Singer_ID
GROUP BY c.Concert_ID, c.concert_Name
ORDER BY c.Concert_ID",0,"SELECT 
    c.Concert_ID,
    c.concert_Name,
    COUNT(s.Singer_ID) as singer_count
FROM concert c
LEFT JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
LEFT JOIN singer s ON sic.Singer_ID = s.Singer_ID
GROUP BY c.Concert_ID, c.concert_Name
ORDER BY c.Concert_ID",0,"SELECT 
    cp.Concert_ID,
    cp.concert_Name,
    COUNT(DISTINCT cp.Singer_ID) AS singer_count
FROM concert_performance cp
GROUP BY cp.Concert_ID, cp.concert_Name
ORDER BY cp.Concert_ID",0,"SELECT 
    c.Concert_ID,
    c.concert_Name,
    COUNT(s.Singer_ID) as singer_count
FROM concert c
LEFT JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
LEFT JOIN singer s ON sic.Singer_ID = s.Singer_ID
GROUP BY c.Concert_ID, c.concert_Name
ORDER BY c.Concert_ID",0,1,no such table: concert,anthropic,"SELECT cp.Concert_ID, cp.concert_Name, COUNT(DISTINCT cp.Singer_ID) AS singer_count FROM concert_performance AS cp LEFT JOIN singer AS s ON cp.Singer_ID = s.Singer_ID GROUP BY cp.Concert_ID, cp.concert_Name ORDER BY cp.Concert_ID",ast,valid,0,2.1133,1.4371,1.2128,1.1463,1.6196,2.215584,anthropic
