id,perturbation,question,expected_failure,sanity_sql,sanity_ok,sanity_latency_s,sanity_tokens_in,sanity_tokens_out,canonical_baseline_ok,canonical_mcp_ok,diff_sql,diff_ok,diff_latency_s,diff_tokens_in,diff_tokens_out,vendor_sql,vendor_ok,vendor_latency_s,vendor_tokens_in,vendor_tokens_out,vendor_n_api_calls,vendor_n_tool_calls,vendor_capped,tool_calls_json,backend
cs_tr_01,TABLE_RENAME,List all singer names.,False,SELECT Name FROM singer,0,1.8956,177,8,0,1,SELECT Name FROM artist,1,1.8603,252,8,SELECT Name FROM artist,1,13.2417,3691,159,3,2,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT Name FROM artist""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",anthropic
cs_tr_02,TABLE_RENAME,Count singers from France.,False,SELECT COUNT(*) FROM singer WHERE Country = 'France',0,1.6353,177,16,0,1,SELECT COUNT(*) FROM artist WHERE Country = 'France',1,1.1374,252,16,SELECT COUNT(*) FROM artist WHERE Country = 'France',1,3.7845,3700,177,3,2,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT COUNT(*) FROM artist WHERE Country = 'France'""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",anthropic
cs_tr_03,TABLE_RENAME,Find the song name for Singer_ID 1.,False,SELECT Song_Name FROM singer WHERE Singer_ID = 1,0,1.1459,183,17,0,1,SELECT Song_Name FROM artist WHERE Singer_ID = 1,1,1.0161,258,22,SELECT Song_Name FROM artist WHERE Singer_ID = 1,1,3.5674,3726,181,3,2,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT Song_Name FROM artist WHERE Singer_ID = 1""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",anthropic
cs_tr_04,TABLE_RENAME,List singer names with age over 40.,False,SELECT Name FROM singer WHERE Age > 40,0,0.8768,181,13,0,1,SELECT Name FROM artist WHERE Age > 40,1,1.0528,256,13,SELECT Name FROM artist WHERE Age > 40,1,3.5299,3708,169,3,2,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT Name FROM artist WHERE Age > 40""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",anthropic
cs_tr_05,TABLE_RENAME,Count male singers.,False,SELECT COUNT(*) FROM singer WHERE Is_male = 'true' OR Is_male = 'True' OR Is_male = 'T' OR Is_male = 'M',0,1.5274,176,45,0,0,"SELECT COUNT(*) FROM artist WHERE Is_male = 'true' OR Is_male = 'True' OR Is_male = 'yes' OR Is_male = 'Yes' OR Is_male = 'Y' OR Is_male = '1'
```

Wait, let me reconsider. The most likely representation for male in a boolean-like field would be 'true' or 'M' or similar. Let me provide a more standard query:

```sql
SELECT COUNT(*) FROM artist WHERE Is_male = 'true'",0,3.8367,251,131,SELECT COUNT(*) FROM artist WHERE Is_male = 'T',1,13.2992,12457,630,8,8,1,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT COUNT(*) FROM artist WHERE Is_male = 'true'""}, ""result"": {""verdict"": ""silent_failure_suspected"", ""reason"": ""empty_result_on_affirmative_question""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT COUNT(*) FROM artist WHERE Is_male = 'M'""}, ""result"": {""verdict"": ""silent_failure_suspected"", ""reason"": ""empty_result_on_affirmative_question""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT COUNT(*) FROM artist WHERE Is_male = 'Yes'""}, ""result"": {""verdict"": ""silent_failure_suspected"", ""reason"": ""empty_result_on_affirmative_question""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT COUNT(*) FROM artist""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT COUNT(*) FROM artist WHERE Is_male = '1'""}, ""result"": {""verdict"": ""silent_failure_suspected"", ""reason"": ""empty_result_on_affirmative_question""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT COUNT(*) FROM artist WHERE Is_male = 1""}, ""result"": {""verdict"": ""silent_failure_suspected"", ""reason"": ""empty_result_on_affirmative_question""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT COUNT(*) FROM artist WHERE Is_male = 'T'""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",anthropic
cs_tr_06,TABLE_RENAME,List song release years since 2010.,False,"SELECT DISTINCT Song_release_year
FROM singer
WHERE Song_release_year >= 2010
ORDER BY Song_release_year",0,1.1866,181,34,0,1,"SELECT DISTINCT Song_release_year
FROM artist
WHERE Song_release_year >= 2010
ORDER BY Song_release_year",1,1.3496,256,34,SELECT Song_release_year FROM artist WHERE Song_release_year >= 2010 ORDER BY Song_release_year,1,4.1572,3733,207,3,2,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT Song_release_year FROM artist WHERE Song_release_year >= 2010 ORDER BY Song_release_year""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",anthropic
cs_tr_07,TABLE_RENAME,List singer names and countries alphabetically.,False,"SELECT Name, Country FROM singer ORDER BY Name, Country",0,1.3411,180,15,0,1,"SELECT Name, Country FROM artist ORDER BY Name, Country",1,1.3816,255,15,"SELECT Name, Country FROM artist ORDER BY Name, Country",1,4.202,3715,178,3,2,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT Name, Country FROM artist ORDER BY Name, Country""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",anthropic
cs_tr_08,TABLE_RENAME,Which singers performed in concert 1?,False,"SELECT s.Singer_ID, s.Name
FROM singer s
JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID
WHERE sic.Concert_ID = 1",0,1.3824,180,51,0,0,SELECT Name FROM artist WHERE Singer_ID IN (SELECT Singer_ID FROM singer_in_concert WHERE Concert_ID = 1),1,2.1667,255,36,SELECT a.Name FROM artist a JOIN singer_in_concert sic ON a.Singer_ID = sic.Singer_ID WHERE sic.Concert_ID = 1,1,4.4334,3735,227,3,2,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT a.Name FROM artist a JOIN singer_in_concert sic ON a.Singer_ID = sic.Singer_ID WHERE sic.Concert_ID = 1""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",anthropic
cs_tr_09,TABLE_RENAME,Count concerts per singer.,False,"SELECT s.Singer_ID, s.Name, COUNT(sic.Concert_ID) as concert_count
FROM singer s
LEFT JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID
GROUP BY s.Singer_ID, s.Name
ORDER BY s.Singer_ID",0,1.2045,177,75,0,0,"SELECT a.Singer_ID, a.Name, COUNT(sic.Concert_ID) as concert_count
FROM artist a
LEFT JOIN singer_in_concert sic ON a.Singer_ID = sic.Singer_ID
GROUP BY a.Singer_ID, a.Name
ORDER BY a.Singer_ID",0,1.155,252,80,"SELECT a.Singer_ID, a.Name, COUNT(sic.Concert_ID) as concert_count
FROM artist a
LEFT JOIN singer_in_concert sic ON a.Singer_ID = sic.Singer_ID
GROUP BY a.Singer_ID, a.Name
ORDER BY a.Singer_ID",0,5.323,3760,295,3,2,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT a.Singer_ID, a.Name, COUNT(sic.Concert_ID) as concert_count\nFROM artist a\nLEFT JOIN singer_in_concert sic ON a.Singer_ID = sic.Singer_ID\nGROUP BY a.Singer_ID, a.Name\nORDER BY a.Singer_ID""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",anthropic
cs_tr_10,TABLE_RENAME,List songs by French singers.,False,"SELECT Song_Name
FROM singer
WHERE Country = 'France'",0,0.9798,178,18,0,0,"SELECT Song_Name
FROM artist
WHERE Country = 'France'",0,1.1197,253,18,SELECT Song_Name FROM artist WHERE Country = 'France',0,4.1265,3696,174,3,2,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT Song_Name FROM artist WHERE Country = 'France'""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",anthropic
