id,perturbation,question,gold_post,expected_failure,failure_reason,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,recovered,degraded,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
hr_cm_01,COLUMN_MERGE,List merged employee full names.,SELECT full_name FROM employees ORDER BY employee_id,False,,"SELECT DISTINCT CONCAT(e1.first_name, ' ', e1.last_name) AS full_name
FROM employees e1
JOIN employees e2 ON e1.employee_id != e2.employee_id
WHERE e1.first_name = e2.first_name AND e1.last_name = e2.last_name
ORDER BY full_name",0,"SELECT DISTINCT CONCAT(e1.first_name, ' ', e1.last_name) AS full_name
FROM employees e1
JOIN employees e2 ON e1.employee_id != e2.employee_id
WHERE e1.first_name = e2.first_name AND e1.last_name = e2.last_name
ORDER BY full_name",0,"SELECT DISTINCT full_name
FROM employees
WHERE full_name IS NOT NULL
ORDER BY full_name",1,"SELECT DISTINCT e1.first_name || ' ' || e1.last_name AS full_name
FROM employees e1
JOIN employees e2 ON e1.employee_id != e2.employee_id
WHERE e1.first_name = e2.first_name AND e1.last_name = e2.last_name
ORDER BY full_name",0,1,no such column: e1.first_name,anthropic,SELECT DISTINCT e1.full_name FROM employees AS e1 JOIN employees AS e2 ON e1.employee_id <> e2.employee_id WHERE e1.full_name = e2.full_name ORDER BY e1.full_name,ast,silent_failure_suspected,0,0,0,1.4244,2.1527,1.337,8.085,1.4642,1.610833,anthropic
hr_cm_02,COLUMN_MERGE,Count employees with last names starting with S.,SELECT COUNT(*) FROM employees WHERE full_name LIKE '% S%',False,,SELECT COUNT(*) FROM employees WHERE last_name LIKE 'S%',1,SELECT COUNT(*) FROM employees WHERE last_name LIKE 'S%',0,SELECT COUNT(*) FROM employees WHERE full_name LIKE '% S%',1,SELECT COUNT(*) FROM employees WHERE last_name LIKE 'S%',0,1,no such column: last_name,anthropic,SELECT COUNT(*) FROM employees WHERE full_name LIKE '%S%',ast,valid,1,1,0,1.2656,1.0162,1.8639,1.0239,0.8051,0.825417,anthropic
hr_cm_03,COLUMN_MERGE,Full name for employee 1.,SELECT full_name FROM employees WHERE employee_id=1,False,,"SELECT first_name, last_name FROM employees WHERE employee_id = 1",0,"SELECT first_name, last_name FROM employees WHERE employee_id = 1",0,SELECT full_name FROM employees WHERE employee_id = 1,1,"SELECT first_name, last_name FROM employees WHERE employee_id = 1",0,1,no such column: first_name,anthropic,SELECT full_name FROM employees WHERE employee_id = 1,ast,valid,1,1,0,0.9525,0.9848,1.1155,1.0779,0.8527,0.745333,anthropic
hr_cm_04,COLUMN_MERGE,Full names for employees with salary over 7000.,SELECT full_name FROM employees WHERE salary > 7000 ORDER BY employee_id,False,,"SELECT first_name, last_name FROM employees WHERE salary > 7000",0,"SELECT first_name, last_name FROM employees WHERE salary > 7000",0,SELECT full_name FROM employees WHERE salary > 7000,1,"SELECT first_name, last_name FROM employees WHERE salary > 7000",0,1,no such column: first_name,anthropic,SELECT full_name FROM employees WHERE salary > 7000,ast,valid,1,1,0,1.2973,1.0894,0.8555,0.9212,0.8996,0.839333,anthropic
hr_cm_05,COLUMN_MERGE,Full names with emails.,"SELECT full_name, email FROM employees ORDER BY employee_id",False,,"SELECT first_name || ' ' || last_name AS full_name, email
FROM employees",1,"SELECT first_name || ' ' || last_name AS full_name, email
FROM employees",0,"SELECT full_name, email FROM employees",1,"SELECT first_name || ' ' || last_name AS full_name, email
FROM employees",0,1,no such column: first_name,anthropic,"SELECT full_name, email FROM employees",ast,valid,1,1,0,0.9784,0.9908,0.8167,1.2571,1.3454,0.796375,anthropic
hr_cm_06,COLUMN_MERGE,Full names with department IDs.,"SELECT full_name, department_id FROM employees ORDER BY employee_id",False,,"SELECT CONCAT(first_name, ' ', last_name) AS full_name, department_id
FROM employees",1,"SELECT CONCAT(first_name, ' ', last_name) AS full_name, department_id
FROM employees",0,"SELECT full_name, department_id FROM employees",1,"SELECT CONCAT(e.first_name, ' ', e.last_name) AS full_name, e.department_id
FROM employees e",0,1,no such column: first_name,anthropic,"SELECT full_name, department_id FROM employees",ast,valid,1,1,0,1.085,1.2287,1.3893,0.9671,0.8662,0.876959,anthropic
hr_cm_07,COLUMN_MERGE,Full names and job IDs for the first five employees.,"SELECT full_name, job_id FROM employees WHERE employee_id <= 5 ORDER BY employee_id",False,,"SELECT first_name || ' ' || last_name AS full_name, job_id
FROM employees
LIMIT 5",1,"SELECT first_name || ' ' || last_name AS full_name, job_id
FROM employees
LIMIT 5",0,"SELECT full_name, job_id FROM employees LIMIT 5",1,"SELECT first_name || ' ' || last_name AS full_name, job_id
FROM employees
LIMIT 5",0,1,no such column: first_name,anthropic,"SELECT full_name, job_id FROM employees LIMIT 5",ast,valid,1,1,0,0.8726,1.7426,1.0238,1.2164,1.2755,0.899625,anthropic
hr_cm_08,COLUMN_MERGE,Count employees with 'a' in their full name.,SELECT COUNT(*) FROM employees WHERE full_name LIKE '%a%',False,,SELECT COUNT(*) FROM employees WHERE first_name LIKE '%a%' OR last_name LIKE '%a%' OR first_name LIKE '%A%' OR last_name LIKE '%A%',1,SELECT COUNT(*) FROM employees WHERE first_name LIKE '%a%' OR last_name LIKE '%a%' OR first_name LIKE '%A%' OR last_name LIKE '%A%',0,SELECT COUNT(*) FROM employees WHERE full_name LIKE '%a%',1,SELECT COUNT(*) FROM employees WHERE (first_name LIKE '%a%' OR first_name LIKE '%A%') OR (last_name LIKE '%a%' OR last_name LIKE '%A%'),0,1,no such column: first_name,anthropic,SELECT COUNT(*) FROM employees WHERE full_name LIKE '%a%' OR full_name LIKE '%A%',ast,valid,1,1,0,0.9893,1.1888,0.9615,1.2295,1.5534,1.154666,anthropic
hr_cm_09,COLUMN_MERGE,Full names for employees with commissions.,SELECT full_name FROM employees WHERE commission_pct IS NOT NULL ORDER BY employee_id,False,,"SELECT first_name, last_name
FROM employees
WHERE commission_pct IS NOT NULL AND commission_pct > 0",0,"SELECT first_name, last_name
FROM employees
WHERE commission_pct IS NOT NULL AND commission_pct > 0",0,SELECT full_name FROM employees WHERE commission_pct IS NOT NULL AND commission_pct > 0,1,"SELECT employees.first_name, employees.last_name
FROM employees
WHERE commission_pct IS NOT NULL AND commission_pct > 0",0,1,no such column: first_name,anthropic,SELECT full_name FROM employees WHERE NOT commission_pct IS NULL AND commission_pct > 0,ast,valid,1,1,0,1.0175,1.936,0.9191,1.9463,0.9514,0.948375,anthropic
hr_cm_10,COLUMN_MERGE,Job history start date with full name for employee 1.,"SELECT j.start_date, e.full_name FROM job_history j JOIN employees e ON j.employee_id=e.employee_id WHERE e.employee_id=1",False,,"SELECT jh.start_date, e.first_name, e.last_name
FROM job_history jh
JOIN employees e ON jh.employee_id = e.employee_id
WHERE jh.employee_id = 1",0,"SELECT jh.start_date, e.first_name, e.last_name
FROM job_history jh
JOIN employees e ON jh.employee_id = e.employee_id
WHERE jh.employee_id = 1",0,"SELECT jh.start_date, e.full_name
FROM job_history jh
JOIN employees e ON jh.employee_id = e.employee_id
WHERE jh.employee_id = 1",1,"SELECT jh.start_date, e.first_name, e.last_name
FROM job_history jh
JOIN employees e ON jh.employee_id = e.employee_id
WHERE jh.employee_id = 1",0,1,no such column: e.first_name,anthropic,"SELECT jh.start_date, e.full_name FROM job_history AS jh JOIN employees AS e ON jh.employee_id = e.employee_id WHERE jh.employee_id = 1",ast,valid,1,1,0,1.3009,1.9308,1.4486,1.4349,1.1262,1.283208,anthropic
