id,perturbation,question,gold_post,expected_failure,failure_reason,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,recovered,degraded,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
hr_ts_01,TABLE_SPLIT,List employee first and last names.,"SELECT first_name, last_name FROM employee_personal ORDER BY employee_id",False,,"SELECT first_name, last_name FROM employees",1,"SELECT first_name, last_name FROM employees",0,"SELECT first_name, last_name FROM employee_personal",1,"SELECT first_name, last_name FROM employees",0,1,no such table: employees,anthropic,"SELECT first_name, last_name FROM employee_personal",ast,valid,1,1,0,0.7698,2.1892,1.19,0.949,2.9167,0.569833,anthropic
hr_ts_02,TABLE_SPLIT,Count employees.,SELECT COUNT(*) FROM employee_personal,False,,SELECT COUNT(*) FROM employees,1,SELECT COUNT(*) FROM employees,0,SELECT COUNT(*) FROM employee_personal,1,SELECT COUNT(*) FROM employees,0,1,no such table: employees,anthropic,SELECT COUNT(*) FROM employee_job,ast,valid,1,1,0,1.3437,0.8337,0.92,1.7421,6.5869,0.624542,anthropic
hr_ts_03,TABLE_SPLIT,Employees with salary over 7000.,SELECT employee_id FROM employee_job WHERE salary > 7000 ORDER BY employee_id,False,,"SELECT employee_id, first_name, last_name, salary
FROM employees
WHERE salary > 7000
ORDER BY salary DESC",0,"SELECT employee_id, first_name, last_name, salary
FROM employees
WHERE salary > 7000
ORDER BY salary DESC",0,"SELECT ep.employee_id, ep.first_name, ep.last_name, ej.salary
FROM employee_personal ep
JOIN employee_job ej ON ep.employee_id = ej.employee_id
WHERE ej.salary > 7000",0,"SELECT employee_id, first_name, last_name, salary
FROM employees
WHERE salary > 7000
ORDER BY salary DESC",0,1,no such table: employees,anthropic,"SELECT ep.employee_id, ep.first_name, ep.last_name, ej.salary 
FROM employee_personal ep
JOIN employee_job ej ON ep.employee_id = ej.employee_id
WHERE ej.salary > 7000 
ORDER BY ej.salary DESC",ast,valid,0,0,0,0.8875,0.923,1.2298,1.2024,3.0264,4.67625,anthropic
hr_ts_04,TABLE_SPLIT,Average employee salary.,SELECT AVG(salary) FROM employee_job,False,,SELECT AVG(salary) FROM employees,1,SELECT AVG(salary) FROM employees,0,SELECT AVG(salary) FROM employee_job,1,SELECT AVG(salary) FROM employees,0,1,no such table: employees,anthropic,SELECT AVG(salary) FROM employee_job,ast,valid,1,1,0,1.4024,1.2211,2.1689,1.3206,0.9528,0.62375,anthropic
hr_ts_05,TABLE_SPLIT,List employee emails.,SELECT email FROM employee_personal ORDER BY employee_id,False,,SELECT email FROM employees,1,SELECT email FROM employees,0,SELECT email FROM employee_personal,1,SELECT email FROM employees,0,1,no such table: employees,anthropic,SELECT email FROM employee_personal,ast,valid,1,1,0,0.9677,1.0483,1.0812,0.8429,0.7678,0.713125,anthropic
hr_ts_06,TABLE_SPLIT,Employees in department 10.,"SELECT p.employee_id, p.first_name FROM employee_personal p JOIN employee_job j ON p.employee_id=j.employee_id WHERE j.department_id=10 ORDER BY p.employee_id",False,,SELECT * FROM employees WHERE department_id = 10,0,SELECT * FROM employees WHERE department_id = 10,0,"SELECT ep.employee_id, ep.first_name, ep.last_name, ej.department_id
FROM employee_personal ep
JOIN employee_job ej ON ep.employee_id = ej.employee_id
WHERE ej.department_id = 10",0,SELECT * FROM employees WHERE department_id = 10,0,1,no such table: employees,anthropic,SELECT * FROM employee_job WHERE department_id = 10,ast,valid,0,0,0,0.8974,0.7792,1.3247,0.8613,39.7613,0.638333,anthropic
hr_ts_07,TABLE_SPLIT,List employee job IDs.,"SELECT employee_id, job_id FROM employee_job ORDER BY employee_id",False,,SELECT DISTINCT job_id FROM employees,0,SELECT DISTINCT job_id FROM employees,0,SELECT DISTINCT job_id FROM employee_job,0,SELECT DISTINCT job_id FROM employees,0,1,no such table: employees,anthropic,SELECT DISTINCT job_id FROM employee_job,ast,valid,0,0,0,4.053,1.2301,1.6369,1.3338,0.8514,0.545625,anthropic
hr_ts_08,TABLE_SPLIT,Count employees per department.,"SELECT department_id, COUNT(*) FROM employee_job GROUP BY department_id ORDER BY department_id",False,,"SELECT 
  d.department_id,
  d.department_name,
  COUNT(e.employee_id) AS employee_count
FROM departments d
LEFT JOIN employees e ON d.department_id = e.department_id
GROUP BY d.department_id, d.department_name
ORDER BY d.department_id",0,"SELECT 
  d.department_id,
  d.department_name,
  COUNT(e.employee_id) AS employee_count
FROM departments d
LEFT JOIN employees e ON d.department_id = e.department_id
GROUP BY d.department_id, d.department_name
ORDER BY d.department_id",0,"SELECT 
    d.department_id,
    d.department_name,
    COUNT(e.employee_id) as employee_count
FROM departments d
LEFT JOIN employee_job e ON d.department_id = e.department_id
GROUP BY d.department_id, d.department_name
ORDER BY d.department_id",0,"SELECT 
  d.department_id,
  d.department_name,
  COUNT(e.employee_id) AS employee_count
FROM departments d
LEFT JOIN employees e ON d.department_id = e.department_id
GROUP BY d.department_id, d.department_name
ORDER BY d.department_id",0,1,no such table: employees,anthropic,"SELECT d.department_id, d.department_name, COUNT(e.employee_id) AS employee_count FROM departments AS d LEFT JOIN employee_job AS e ON d.department_id = e.department_id GROUP BY d.department_id, d.department_name ORDER BY d.department_id",ast,valid,0,0,0,1.1969,1.4318,1.2281,1.2298,1.1613,1.367375,anthropic
hr_ts_09,TABLE_SPLIT,Employees with commissions.,SELECT employee_id FROM employee_job WHERE commission_pct IS NOT NULL ORDER BY employee_id,False,,"SELECT employee_id, first_name, last_name, commission_pct
FROM employees
WHERE commission_pct IS NOT NULL AND commission_pct > 0
ORDER BY employee_id",0,"SELECT employee_id, first_name, last_name, commission_pct
FROM employees
WHERE commission_pct IS NOT NULL AND commission_pct > 0
ORDER BY employee_id",0,"SELECT DISTINCT ep.employee_id, ep.first_name, ep.last_name, ej.commission_pct
FROM employee_personal ep
JOIN employee_job ej ON ep.employee_id = ej.employee_id
WHERE ej.commission_pct IS NOT NULL AND ej.commission_pct > 0
ORDER BY ep.employee_id",0,"SELECT employee_id, first_name, last_name, commission_pct
FROM employees
WHERE commission_pct IS NOT NULL AND commission_pct > 0
ORDER BY employee_id",0,1,no such table: employees,anthropic,"SELECT ej.employee_id, ep.first_name, ep.last_name, ej.commission_pct 
FROM employee_job ej
JOIN employee_personal ep ON ej.employee_id = ep.employee_id
WHERE ej.commission_pct IS NOT NULL AND ej.commission_pct > 0 
ORDER BY ej.employee_id",ast,valid,0,0,0,0.9109,2.7444,1.4293,2.9705,1.2799,0.9085,anthropic
hr_ts_10,TABLE_SPLIT,Employees managed by 1.,SELECT employee_id FROM employee_job WHERE manager_id=1 ORDER BY employee_id,False,,SELECT * FROM employees WHERE manager_id = 1,0,SELECT * FROM employees WHERE manager_id = 1,0,"SELECT ep.employee_id, ep.first_name, ep.last_name, ej.job_id, ej.salary
FROM employee_personal ep
JOIN employee_job ej ON ep.employee_id = ej.employee_id
WHERE ej.manager_id = 1",0,SELECT * FROM employees WHERE manager_id = 1,0,1,no such table: employees,anthropic,SELECT * FROM employee_job JOIN employee_personal ON employee_job.employee_id = employee_personal.employee_id WHERE employee_job.manager_id = 1,ast,valid,0,0,0,0.87,0.8196,2.3536,0.9249,1.1577,0.628625,anthropic
hr_ts_11,TABLE_SPLIT,Job title for employee 1.,SELECT j.job_title FROM employee_job e JOIN jobs j ON e.job_id=j.job_id WHERE e.employee_id=1,False,,"SELECT j.job_title
FROM employees e
JOIN jobs j ON e.job_id = j.job_id
WHERE e.employee_id = 1",1,"SELECT j.job_title
FROM employees e
JOIN jobs j ON e.job_id = j.job_id
WHERE e.employee_id = 1",0,"SELECT j.job_title
FROM employee_job ej
JOIN jobs j ON ej.job_id = j.job_id
WHERE ej.employee_id = 1",1,"SELECT j.job_title
FROM employees e
JOIN jobs j ON e.job_id = j.job_id
WHERE e.employee_id = 1",0,1,no such table: employees,anthropic,SELECT j.job_title FROM employee_job AS e JOIN jobs AS j ON e.job_id = j.job_id WHERE e.employee_id = 1,ast,valid,1,1,0,3.1399,1.951,1.1213,1.9463,0.9542,0.957708,anthropic
hr_ts_12,TABLE_SPLIT,Department name for employee 1.,SELECT d.department_name FROM employee_job e JOIN departments d ON e.department_id=d.department_id WHERE e.employee_id=1,False,,"SELECT d.department_name
FROM employees e
JOIN departments d ON e.department_id = d.department_id
WHERE e.employee_id = 1",1,"SELECT d.department_name
FROM employees e
JOIN departments d ON e.department_id = d.department_id
WHERE e.employee_id = 1",0,"SELECT d.department_name
FROM departments d
JOIN employee_job ej ON d.department_id = ej.department_id
WHERE ej.employee_id = 1",1,"SELECT d.department_name
FROM employees e
JOIN departments d ON e.department_id = d.department_id
WHERE e.employee_id = 1",0,1,no such table: employees,anthropic,SELECT d.department_name FROM employee_job AS e JOIN departments AS d ON e.department_id = d.department_id WHERE e.employee_id = 1,ast,valid,1,1,0,1.0919,1.231,1.2278,0.9231,0.9544,0.991917,anthropic
hr_ts_13,TABLE_SPLIT,Job history start date for employee 1.,SELECT j.start_date FROM job_history j JOIN employee_job e ON j.employee_id=e.employee_id WHERE e.employee_id=1,False,,SELECT start_date FROM job_history WHERE employee_id = 1,1,SELECT start_date FROM job_history WHERE employee_id = 1,1,SELECT start_date FROM job_history WHERE employee_id = 1,1,SELECT start_date FROM job_history WHERE employee_id = 1,1,0,,anthropic,SELECT start_date FROM job_history WHERE employee_id = 1,ast,valid,1,0,0,1.0927,0.9212,0.8188,0.0006,0.0322,0.646708,anthropic
hr_ts_14,TABLE_SPLIT,Employees hired after 2007-06-20.,SELECT employee_id FROM employee_job WHERE hire_date > '2007-06-20' ORDER BY employee_id,False,,SELECT * FROM employees WHERE hire_date > '2007-06-20',0,SELECT * FROM employees WHERE hire_date > '2007-06-20',0,"SELECT DISTINCT ep.employee_id, ep.first_name, ep.last_name, ej.hire_date
FROM employee_personal ep
JOIN employee_job ej ON ep.employee_id = ej.employee_id
WHERE ej.hire_date > '2007-06-20'
ORDER BY ej.hire_date",0,SELECT * FROM employees WHERE hire_date > '2007-06-20',0,1,no such table: employees,anthropic,SELECT * FROM employee_job JOIN employee_personal ON employee_job.employee_id = employee_personal.employee_id WHERE employee_job.hire_date > '2007-06-20',ast,valid,0,0,0,0.8892,0.9246,1.3318,1.226,1.0564,0.647292,anthropic
hr_ts_15,TABLE_SPLIT,List region names.,SELECT region_name FROM regions ORDER BY region_id,False,,SELECT region_name FROM regions,1,SELECT region_name FROM regions,1,SELECT DISTINCT region_name FROM regions,1,SELECT region_name FROM regions,1,0,,anthropic,SELECT region_name FROM regions,ast,valid,1,0,0,0.7859,1.1268,1.1259,0.0006,0.0321,0.530666,anthropic
hr_ts_16,TABLE_SPLIT,Count jobs.,SELECT COUNT(*) FROM jobs,False,,SELECT COUNT(*) FROM jobs,1,SELECT COUNT(*) FROM jobs,1,SELECT COUNT(*) FROM jobs,1,SELECT COUNT(*) FROM jobs,1,0,,anthropic,SELECT COUNT(*) FROM jobs,ast,valid,1,0,0,0.7867,0.925,1.5325,0.001,0.0317,0.870375,anthropic
