id,perturbation,question,gold_post,expected_failure,failure_reason,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,recovered,degraded,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
hr_tr_01,TABLE_RENAME,List employee first and last names.,"SELECT first_name, last_name FROM staff ORDER BY employee_id",False,,"SELECT first_name, last_name FROM employees",1,"SELECT first_name, last_name FROM employees",0,"SELECT first_name, last_name FROM staff",1,"SELECT first_name, last_name FROM employees",0,1,no such table: employees,gemini,"SELECT first_name, last_name FROM staff",ast,valid,1,1,0,11.3426,1.3341,1.181,3.5272,0.0521,50.22754,gemini
hr_tr_02,TABLE_RENAME,Count employees.,SELECT COUNT(*) FROM staff,False,,SELECT count(*) FROM employees,1,SELECT count(*) FROM employees,0,SELECT count(*) FROM staff,1,SELECT count(*) FROM employees,0,1,no such table: employees,gemini,SELECT COUNT(*) FROM staff,ast,valid,1,1,0,1.2411,1.8498,1.2228,3.9882,0.002,0.556229,gemini
hr_tr_03,TABLE_RENAME,Employees with salary over 7000.,SELECT employee_id FROM staff WHERE salary > 7000 ORDER BY employee_id,False,,"SELECT employee_id, first_name, last_name FROM employees WHERE salary > 7000",0,"SELECT employee_id, first_name, last_name FROM employees WHERE salary > 7000",0,"SELECT employee_id, first_name, last_name FROM staff WHERE salary > 7000",0,"SELECT employee_id, first_name, last_name FROM employees WHERE salary >",0,1,no such table: employees,gemini,"SELECT employee_id, first_name, last_name FROM staff WHERE salary > 7000",ast,silent_failure_suspected,0,0,0,1.2396,1.3268,1.4122,3.3883,1.4768,0.913602,gemini
hr_tr_04,TABLE_RENAME,Average employee salary.,SELECT AVG(salary) FROM staff,False,,SELECT AVG(salary) FROM employees,1,SELECT AVG(salary) FROM employees,0,SELECT AVG(salary) FROM staff,1,SELECT AVG(salary) FROM employees,0,1,no such table: employees,gemini,SELECT AVG(salary) FROM staff,ast,valid,1,1,0,1.1932,1.2752,1.1184,2.9985,0.0023,0.577995,gemini
hr_tr_05,TABLE_RENAME,List employee emails.,SELECT email FROM staff ORDER BY employee_id,False,,SELECT email FROM employees,1,SELECT email FROM employees,0,SELECT email FROM staff,1,SELECT email FROM employees,0,1,no such table: employees,gemini,SELECT email FROM staff,ast,valid,1,1,0,1.2554,1.1763,1.3409,3.2597,0.0019,0.44424,gemini
hr_tr_06,TABLE_RENAME,Employees in department 10.,SELECT employee_id FROM staff WHERE department_id=10,False,,SELECT * FROM employees WHERE department_id = 10,0,SELECT * FROM employees WHERE department_id = 10,0,SELECT employee_id FROM staff WHERE department_id = 10,1,SELECT * FROM employees WHERE department_id = 10,0,1,no such table: employees,gemini,SELECT * FROM staff WHERE department_id = 10,ast,valid,0,0,0,1.2128,1.1397,1.1428,3.8448,0.0027,0.623263,gemini
hr_tr_07,TABLE_RENAME,List employee job IDs.,"SELECT employee_id, job_id FROM staff ORDER BY employee_id",False,,SELECT job_id FROM employees,0,SELECT job_id FROM employees,0,SELECT job_id FROM staff,0,SELECT job_id FROM job_history,0,1,no such table: employees,gemini,SELECT job_id FROM staff,ast,valid,0,0,0,1.1531,1.2243,0.7642,3.1598,0.0024,0.556434,gemini
hr_tr_08,TABLE_RENAME,Count employees per department.,"SELECT department_id, COUNT(*) FROM staff GROUP BY department_id ORDER BY department_id",False,,"ite
SELECT T2.department_name, COUNT(T1.employee_id) FROM employees AS T1 INNER JOIN departments AS T2 ON T1.department_id = T2.department_id GROUP BY T2.department_name",0,"SELECT T2.department_name, COUNT(T1.employee_id) FROM employees AS T1 INNER JOIN departments AS T2 ON T1.department_id = T2.department_id GROUP BY T2.department_name",0,"SELECT T2.department_name, COUNT(T1.employee_id) FROM staff AS T1 JOIN departments AS T2 ON T1.department_id = T2.department_id GROUP BY T2.department_name",0,"SELECT T2.department_name, COUNT(T1.employee_id) FROM",0,1,no such table: employees,gemini,"SELECT T2.department_name, COUNT(T1.employee_id) FROM staff AS T1 INNER JOIN departments AS T2 ON T1.department_id = T2.department_id GROUP BY T2.department_name",ast,valid,0,0,0,1.7204,1.5688,1.2349,3.645,0.0037,1.58677,gemini
hr_tr_09,TABLE_RENAME,Employees with commissions.,SELECT employee_id FROM staff WHERE commission_pct IS NOT NULL ORDER BY employee_id,False,,"SELECT employee_id, first_name, last_name FROM employees WHERE commission_pct IS NOT NULL",0,"SELECT employee_id, first_name, last_name FROM employees WHERE commission_pct IS NOT NULL",0,"SELECT first_name, last_name FROM staff WHERE commission_pct IS NOT NULL",0,"SELECT employee_id, first_name, last_name FROM employees WHERE commission_pct IS NOT NULL",0,1,no such table: employees,gemini,"SELECT employee_id, first_name, last_name FROM staff WHERE NOT commission_",ast,execution_error,0,0,0,1.274,1.3355,1.1969,3.2077,3.5573,1.387733,gemini
hr_tr_10,TABLE_RENAME,Employees managed by 1.,SELECT employee_id FROM staff WHERE manager_id=1 ORDER BY employee_id,False,,SELECT * FROM employees WHERE manager_id = 1,0,SELECT * FROM employees WHERE manager_id = 1,0,"SELECT first_name, last_name FROM staff WHERE manager_id = 1",0,SELECT * FROM employees WHERE manager_id = 1,0,1,no such table: employees,gemini,SELECT * FROM staff WHERE manager_id = 1,ast,silent_failure_suspected,0,0,0,1.0076,1.3687,1.3899,3.4339,1.186,0.612267,gemini
