id,perturbation,question,expected_failure,sanity_sql,sanity_ok,sanity_latency_s,sanity_tokens_in,sanity_tokens_out,canonical_baseline_ok,canonical_mcp_ok,diff_sql,diff_ok,diff_latency_s,diff_tokens_in,diff_tokens_out,vendor_sql,vendor_ok,vendor_latency_s,vendor_tokens_in,vendor_tokens_out,vendor_n_api_calls,vendor_n_tool_calls,vendor_capped,tool_calls_json,backend
hr_ts_01,TABLE_SPLIT,List employee first and last names.,False,"SELECT first_name, last_name FROM employees",0,0.9717,250,13,0,1,"SELECT first_name, last_name FROM employee_personal",1,4.2138,331,15,"SELECT first_name, last_name FROM employee_personal",1,3.8902,2984,70,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT first_name, last_name FROM employees;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT first_name, last_name FROM employee_personal;""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
hr_ts_02,TABLE_SPLIT,Count employees.,False,SELECT COUNT(*) FROM employees,0,0.7694,246,10,0,1,SELECT COUNT(*) FROM employee_personal,1,0.8517,327,12,SELECT COUNT(*) FROM employee_job,1,2.872,2199,76,3,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT COUNT(*) FROM employees;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT COUNT(*) FROM employee_job;""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
hr_ts_03,TABLE_SPLIT,Employees with salary over 7000.,False,SELECT * FROM employees WHERE salary > 7000,0,0.8767,251,15,0,0,"SELECT ep.employee_id, ep.first_name, ep.last_name
FROM employee_personal ep
JOIN employee_job ej ON ep.employee_id = ej.employee_id
WHERE ej.salary > 7000",0,1.109,332,44,SELECT * FROM employee_job WHERE salary > 7000,0,4.9903,2997,74,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT * FROM employees WHERE salary > 7000;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT * FROM employee_job WHERE salary > 7000;""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
hr_ts_04,TABLE_SPLIT,Average employee salary.,False,SELECT AVG(salary) AS average_salary FROM employees,0,0.7594,247,15,0,1,SELECT AVG(salary) FROM employee_job,1,0.8228,328,13,SELECT AVG(salary) FROM employee_job,1,3.9102,2966,65,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT AVG(salary) FROM employees;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT AVG(salary) FROM employee_job;""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
hr_ts_05,TABLE_SPLIT,List employee emails.,False,SELECT email FROM employees,0,0.7696,247,9,0,1,SELECT email FROM employee_personal,1,1.0323,328,11,SELECT email FROM employee_personal,1,4.2485,2952,58,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT email FROM employees;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT email FROM employee_personal;""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
hr_ts_06,TABLE_SPLIT,Employees in department 10.,False,"SELECT employee_id, first_name, last_name, email, phone_number, hire_date, job_id, salary, commission_pct, manager_id 
FROM employees 
WHERE department_id = 10",0,1.0287,249,43,0,0,"SELECT ep.employee_id, ep.first_name, ep.last_name
FROM employee_personal ep
JOIN employee_job ej ON ep.employee_id = ej.employee_id
WHERE ej.department_id = 10",0,1.2869,330,44,"SELECT employee_personal.first_name, employee_personal.last_name FROM employee_personal JOIN employee_job ON employee_personal.employee_id = employee_job.employee_id WHERE employee_job.department_id = 10",0,4.1442,3032,132,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT first_name, last_name FROM employees WHERE department_id = 10;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT employee_personal.first_name, employee_personal.last_name FROM employee_personal JOIN employee_job ON employee_personal.employee_id = employee_job.employee_id WHERE employee_job.department_id = 10;""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
hr_ts_07,TABLE_SPLIT,List employee job IDs.,False,SELECT job_id FROM employees,0,0.7327,248,10,0,0,SELECT job_id FROM employee_job,0,1.0523,329,11,SELECT job_id FROM employee_job,0,4.436,2960,59,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT job_id FROM employees;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT job_id FROM employee_job;""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
hr_ts_08,TABLE_SPLIT,Count employees per department.,False,"SELECT d.department_name, COUNT(e.employee_id) AS employee_count
FROM departments d
LEFT JOIN employees e ON d.department_id = e.department_id
GROUP BY d.department_name",0,1.017,248,41,0,0,"SELECT d.department_name, COUNT(ej.employee_id) AS employee_count
FROM departments d
LEFT JOIN employee_job ej ON d.department_id = ej.department_id
GROUP BY d.department_name",0,1.1798,329,43,"SELECT department_id, COUNT(*) FROM employee_job GROUP BY department_id",1,4.3242,2995,80,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT department_id, COUNT(*) FROM employees GROUP BY department_id;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT department_id, COUNT(*) FROM employee_job GROUP BY department_id;""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
hr_ts_09,TABLE_SPLIT,Employees with commissions.,False,"SELECT employee_id, first_name, last_name, email, phone_number, hire_date, job_id, salary, commission_pct, manager_id, department_id
FROM employees
WHERE commission_pct IS NOT NULL",0,1.0303,247,46,0,0,"SELECT ep.employee_id, ep.first_name, ep.last_name, ej.commission_pct
FROM employee_personal ep
JOIN employee_job ej ON ep.employee_id = ej.employee_id
WHERE ej.commission_pct IS NOT NULL",0,1.1793,328,50,SELECT * FROM employee_job WHERE NOT commission_pct IS NULL,0,6.0505,4903,122,6,5,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT * FROM employees WHERE commission_pct IS NOT NULL;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT * FROM employees WHERE NOT commission_pct IS NULL""}, ""result"": {""verdict"": ""execution_error"", ""reason"": ""no such table: employees""}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT * FROM employee_job WHERE commission_pct IS NOT NULL;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT * FROM employee_job WHERE NOT commission_pct IS NULL""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
hr_ts_10,TABLE_SPLIT,Employees managed by 1.,False,"SELECT employee_id, first_name, last_name
FROM employees
WHERE manager_id = 1",0,1.307,249,24,0,0,"SELECT ep.employee_id, ep.first_name, ep.last_name
FROM employee_personal ep
JOIN employee_job ej ON ep.employee_id = ej.employee_id
WHERE ej.manager_id = 1",0,1.0517,330,44,SELECT * FROM employee_job WHERE manager_id = 1,0,7.0125,3198,116,4,4,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT * FROM employees WHERE manager_id = 1;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT * FROM employee_job WHERE manager_id = 1;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT * FROM employee_job WHERE manager_id = 1""}, ""result"": {""verdict"": ""silent_failure_suspected"", ""reason"": ""low_semantic_similarity""}}]",openai_compat
