id,perturbation,expected_failure,seed,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
hr_tr_01,TABLE_RENAME,False,0,"SELECT first_name, last_name FROM employees",1,"SELECT first_name, last_name FROM employees",0,"SELECT first_name, last_name FROM staff",1,"SELECT first_name, last_name FROM employees",0,1,no such table: employees,anthropic,"SELECT first_name, last_name FROM staff",ast,valid,1,0.7911,0.8593,1.0051,1.2965,0.0443,0.795958,anthropic
hr_tr_01,TABLE_RENAME,False,1,"SELECT first_name, last_name FROM employees",1,"SELECT first_name, last_name FROM employees",0,"SELECT first_name, last_name FROM staff",1,"SELECT first_name, last_name FROM employees",0,1,no such table: employees,anthropic,"SELECT first_name, last_name FROM staff",ast,valid,1,1.1761,0.7886,0.8905,1.1887,0.0483,0.799542,anthropic
hr_tr_01,TABLE_RENAME,False,2,"SELECT first_name, last_name FROM employees",1,"SELECT first_name, last_name FROM employees",0,"SELECT first_name, last_name FROM staff",1,"SELECT first_name, last_name FROM employees",0,1,no such table: employees,anthropic,"SELECT first_name, last_name FROM staff",ast,valid,1,0.8803,1.0818,0.8278,0.9162,0.0441,0.757833,anthropic
hr_tr_01,TABLE_RENAME,False,3,"SELECT first_name, last_name FROM employees",1,"SELECT first_name, last_name FROM employees",0,"SELECT first_name, last_name FROM staff",1,"SELECT first_name, last_name FROM employees",0,1,no such table: employees,anthropic,"SELECT first_name, last_name FROM staff",ast,valid,1,1.0474,0.9483,0.8954,1.0642,0.0475,1.0405,anthropic
hr_tr_01,TABLE_RENAME,False,4,"SELECT first_name, last_name FROM employees",1,"SELECT first_name, last_name FROM employees",0,"SELECT first_name, last_name FROM staff",1,"SELECT first_name, last_name FROM employees",0,1,no such table: employees,anthropic,"SELECT first_name, last_name FROM staff",ast,valid,1,1.0074,1.2142,1.1058,1.2674,0.0478,0.760667,anthropic
hr_tr_02,TABLE_RENAME,False,0,SELECT COUNT(*) FROM employees,1,SELECT COUNT(*) FROM employees,0,SELECT COUNT(*) FROM staff,1,SELECT COUNT(*) FROM employees,0,1,no such table: employees,anthropic,SELECT COUNT(*) FROM staff,ast,valid,1,0.9441,1.1569,1.0327,0.8232,0.0466,0.8175,anthropic
hr_tr_02,TABLE_RENAME,False,1,SELECT COUNT(*) FROM employees,1,SELECT COUNT(*) FROM employees,0,SELECT COUNT(*) FROM staff,1,SELECT COUNT(*) FROM employees,0,1,no such table: employees,anthropic,SELECT COUNT(*) FROM staff,ast,valid,1,1.184,1.1071,1.1947,1.2515,0.0474,1.10725,anthropic
hr_tr_02,TABLE_RENAME,False,2,SELECT COUNT(*) FROM employees,1,SELECT COUNT(*) FROM employees,0,SELECT COUNT(*) FROM staff,1,SELECT COUNT(*) FROM employees,0,1,no such table: employees,anthropic,SELECT COUNT(*) FROM staff,ast,valid,1,1.0018,1.1664,1.9307,1.2966,0.0499,0.860209,anthropic
hr_tr_02,TABLE_RENAME,False,3,SELECT COUNT(*) FROM employees,1,SELECT COUNT(*) FROM employees,0,SELECT COUNT(*) FROM staff,1,SELECT COUNT(*) FROM employees,0,1,no such table: employees,anthropic,SELECT COUNT(*) FROM staff,ast,valid,1,1.0335,1.0619,0.913,1.2127,0.0474,1.116708,anthropic
hr_tr_02,TABLE_RENAME,False,4,SELECT COUNT(*) FROM employees,1,SELECT COUNT(*) FROM employees,0,SELECT COUNT(*) FROM staff,1,SELECT COUNT(*) FROM employees,0,1,no such table: employees,anthropic,SELECT COUNT(*) FROM staff,ast,valid,1,1.3153,0.8082,1.9208,1.4937,0.0487,0.91425,anthropic
hr_tr_03,TABLE_RENAME,False,0,"SELECT employee_id, first_name, last_name, salary
FROM employees
WHERE salary > 7000
ORDER BY salary DESC",0,"SELECT employee_id, first_name, last_name, salary
FROM employees
WHERE salary > 7000
ORDER BY salary DESC",0,"SELECT employee_id, first_name, last_name, salary
FROM staff
WHERE salary > 7000
ORDER BY salary DESC",0,"SELECT employee_id, first_name, last_name, salary
FROM employees
WHERE salary > 7000
ORDER BY salary DESC",0,1,no such table: employees,anthropic,"SELECT employee_id, first_name, last_name, salary FROM staff WHERE salary > 7000 ORDER BY salary DESC",ast,silent_failure_suspected,0,1.288,1.4015,1.0255,1.3058,1.021,1.597458,anthropic
hr_tr_03,TABLE_RENAME,False,1,"SELECT employee_id, first_name, last_name, salary
FROM employees
WHERE salary > 7000
ORDER BY salary DESC",0,"SELECT employee_id, first_name, last_name, salary
FROM employees
WHERE salary > 7000
ORDER BY salary DESC",0,"SELECT employee_id, first_name, last_name, salary
FROM staff
WHERE salary > 7000
ORDER BY salary DESC",0,"SELECT employee_id, first_name, last_name, salary
FROM employees
WHERE salary > 7000
ORDER BY salary DESC",0,1,no such table: employees,anthropic,"SELECT employee_id, first_name, last_name, salary FROM staff WHERE salary > 7000 ORDER BY salary DESC",ast,silent_failure_suspected,0,1.7765,1.1694,0.9655,1.3846,1.7208,1.613875,anthropic
hr_tr_03,TABLE_RENAME,False,2,"SELECT employee_id, first_name, last_name, salary
FROM employees
WHERE salary > 7000
ORDER BY salary DESC",0,"SELECT employee_id, first_name, last_name, salary
FROM employees
WHERE salary > 7000
ORDER BY salary DESC",0,"SELECT employee_id, first_name, last_name, salary
FROM staff
WHERE salary > 7000
ORDER BY salary DESC",0,"SELECT employee_id, first_name, last_name, salary
FROM employees
WHERE salary > 7000
ORDER BY salary DESC",0,1,no such table: employees,anthropic,"SELECT employee_id, first_name, last_name, salary FROM staff WHERE salary > 7000 ORDER BY salary DESC",ast,silent_failure_suspected,0,1.5886,1.196,1.5076,1.0521,1.3157,1.219,anthropic
hr_tr_03,TABLE_RENAME,False,3,"SELECT employee_id, first_name, last_name, salary
FROM employees
WHERE salary > 7000
ORDER BY salary DESC",0,"SELECT employee_id, first_name, last_name, salary
FROM employees
WHERE salary > 7000
ORDER BY salary DESC",0,"SELECT employee_id, first_name, last_name, salary
FROM staff
WHERE salary > 7000
ORDER BY salary DESC",0,"SELECT employee_id, first_name, last_name, salary
FROM employees
WHERE salary > 7000
ORDER BY salary DESC",0,1,no such table: employees,anthropic,"SELECT employee_id, first_name, last_name, salary FROM staff WHERE salary > 7000 ORDER BY salary DESC",ast,silent_failure_suspected,0,0.9994,1.2047,1.1364,1.2779,1.2931,1.086041,anthropic
hr_tr_03,TABLE_RENAME,False,4,"SELECT employee_id, first_name, last_name, salary
FROM employees
WHERE salary > 7000
ORDER BY salary DESC",0,"SELECT employee_id, first_name, last_name, salary
FROM employees
WHERE salary > 7000
ORDER BY salary DESC",0,"SELECT employee_id, first_name, last_name, salary
FROM staff
WHERE salary > 7000
ORDER BY salary DESC",0,"SELECT employee_id, first_name, last_name, salary
FROM employees
WHERE salary > 7000
ORDER BY salary DESC",0,1,no such table: employees,anthropic,"SELECT employee_id, first_name, last_name, salary FROM staff WHERE salary > 7000 ORDER BY salary DESC",ast,silent_failure_suspected,0,1.2995,1.7889,1.3127,1.186,1.0774,1.552042,anthropic
hr_tr_04,TABLE_RENAME,False,0,SELECT AVG(salary) FROM employees,1,SELECT AVG(salary) FROM employees,0,SELECT AVG(salary) FROM staff,1,SELECT AVG(salary) FROM employees,0,1,no such table: employees,anthropic,SELECT AVG(salary) FROM staff,ast,valid,1,1.472,1.0795,1.0184,1.0393,0.0465,0.770375,anthropic
hr_tr_04,TABLE_RENAME,False,1,SELECT AVG(salary) FROM employees,1,SELECT AVG(salary) FROM employees,0,SELECT AVG(salary) FROM staff,1,SELECT AVG(salary) FROM employees,0,1,no such table: employees,anthropic,SELECT AVG(salary) FROM staff,ast,valid,1,0.9517,1.0495,1.2957,1.1652,0.0463,0.835208,anthropic
hr_tr_04,TABLE_RENAME,False,2,SELECT AVG(salary) FROM employees,1,SELECT AVG(salary) FROM employees,0,SELECT AVG(salary) FROM staff,1,SELECT AVG(salary) FROM employees,0,1,no such table: employees,anthropic,SELECT AVG(salary) FROM staff,ast,valid,1,1.4115,0.9418,2.8451,1.988,0.0487,0.884291,anthropic
hr_tr_04,TABLE_RENAME,False,3,SELECT AVG(salary) FROM employees,1,SELECT AVG(salary) FROM employees,0,SELECT AVG(salary) FROM staff,1,SELECT AVG(salary) FROM employees,0,1,no such table: employees,anthropic,SELECT AVG(salary) FROM staff,ast,valid,1,1.0692,1.0672,1.1489,1.0915,0.0507,0.822292,anthropic
hr_tr_04,TABLE_RENAME,False,4,SELECT AVG(salary) FROM employees,1,SELECT AVG(salary) FROM employees,0,SELECT AVG(salary) FROM staff,1,SELECT AVG(salary) FROM employees,0,1,no such table: employees,anthropic,SELECT AVG(salary) FROM staff,ast,valid,1,0.8841,1.0504,1.2342,1.4784,0.0472,0.826,anthropic
hr_tr_05,TABLE_RENAME,False,0,SELECT email FROM employees,1,SELECT email FROM employees,0,SELECT email FROM staff,1,SELECT email FROM employees,0,1,no such table: employees,anthropic,SELECT email FROM staff,ast,valid,1,1.3118,1.1057,1.2695,1.0294,0.0472,0.720708,anthropic
hr_tr_05,TABLE_RENAME,False,1,SELECT email FROM employees,1,SELECT email FROM employees,0,SELECT email FROM staff,1,SELECT email FROM employees,0,1,no such table: employees,anthropic,SELECT email FROM staff,ast,valid,1,1.1368,1.2535,1.3069,1.0889,0.0491,0.97425,anthropic
