id,perturbation,question,gold_post,expected_failure,failure_reason,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,recovered,degraded,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
cs_cm_01,COLUMN_MERGE,List singer names with countries merged.,SELECT Name_Country FROM singer ORDER BY Singer_ID,False,,SELECT Name || ' (' || Country || ')' AS Singer_Name_With_Country FROM singer,0,SELECT Name || ' (' || Country || ')' AS Singer_Name_With_Country FROM singer,0,SELECT DISTINCT Name_Country FROM singer,1,SELECT singer.Name || ' (' || singer.Country || ')' AS Singer_Name_With_Country FROM singer,0,1,no such column: Name,openai_compat,SELECT Song_Name || ' (' || Name_Country || ')' AS Singer_Name_With_Country FROM singer,ast,valid,0,0,0,0.9408,1.3706,0.8468,0.8341,1.1615,1.741307,openai_compat
cs_cm_02,COLUMN_MERGE,Count singers from France.,SELECT COUNT(*) FROM singer WHERE Name_Country LIKE '% - France',False,,SELECT COUNT(*) FROM singer WHERE Country = 'France',1,SELECT COUNT(*) FROM singer WHERE Country = 'France',0,SELECT COUNT(*) FROM singer WHERE Name_Country = 'France',0,SELECT COUNT(*) FROM singer WHERE Country = 'France',0,1,no such column: Country,openai_compat,SELECT COUNT(*) FROM singer WHERE Name_Country = 'France',ast,silent_failure_suspected,0,0,0,0.9987,1.015,1.0007,1.2542,1.0059,1.988013,openai_compat
cs_cm_03,COLUMN_MERGE,Merged name for Singer_ID 1.,SELECT Name_Country FROM singer WHERE Singer_ID=1,False,,SELECT Name || ' - ' || Song_Name AS Merged_Name FROM singer WHERE Singer_ID = 1,0,SELECT Name || ' - ' || Song_Name AS Merged_Name FROM singer WHERE Singer_ID = 1,0,SELECT Song_Name || ' ' || Name_Country AS Merged_Name FROM singer WHERE Singer_ID = 1,0,SELECT singer.Name || ' - ' || singer.Song_Name AS Merged_Name FROM singer WHERE Singer_ID = 1,0,1,no such column: Name,openai_compat,SELECT Name_Country || ' - ' || Song_Name AS Merged_Name FROM singer WHERE Singer_ID = 1,ast,valid,0,0,0,0.8257,0.9566,1.1009,1.186,1.5656,1.171832,openai_compat
cs_cm_04,COLUMN_MERGE,Merged names for singers over 40.,SELECT Name_Country FROM singer WHERE Age > 40 ORDER BY Name_Country,False,,"SELECT GROUP_CONCAT(Name, ', ') AS Merged_Names
FROM singer
WHERE Age > 40",0,"SELECT GROUP_CONCAT(Name, ', ') AS Merged_Names
FROM singer
WHERE Age > 40",0,"SELECT GROUP_CONCAT(s.Name_Country, ', ') AS Merged_Names
FROM singer s
WHERE s.Age > 40",0,"SELECT GROUP_CONCAT(Name, ', ') AS Merged_Names
FROM singer
WHERE Age > 40",0,1,no such column: Name,openai_compat,"SELECT GROUP_CONCAT(SUBSTR(Name_Country, INSTR(Name_Country, ',') + 1), ', ') AS Merged_Names 
FROM singer 
WHERE Age > 40",ast,valid,0,0,0,0.8227,0.9265,1.1095,1.0658,1.0456,0.781698,openai_compat
cs_cm_05,COLUMN_MERGE,Merged name for the song 'Sun'.,SELECT Name_Country FROM singer WHERE Song_Name='Sun',False,,SELECT Name FROM singer WHERE Song_Name = 'Sun',0,"SELECT Name || ' ' || Song_Name AS Merged_Name
FROM singer
WHERE Song_Name = 'Sun'",0,"SELECT Song_Name || ' - ' || Name_Country AS Merged_Name
FROM singer
WHERE Song_Name = 'Sun'",0,"SELECT singer.Name || ' ' || singer.Song_Name AS Merged_Name
FROM singer
WHERE singer.Song_Name = 'Sun'",0,1,no such column: Name,openai_compat,SELECT Name_Country || ' ' || Song_Name AS Merged_Name FROM singer WHERE Song_Name = 'Sun',ast,valid,0,0,0,0.7951,0.798,1.2659,0.7785,1.0004,13.043875,openai_compat
cs_cm_06,COLUMN_MERGE,Count singers with songs released since 2010.,SELECT COUNT(*) FROM singer WHERE Song_release_year >= 2010,False,,"SELECT COUNT(DISTINCT Singer_ID) 
FROM singer 
WHERE Song_release_year >= 2010",1,"SELECT COUNT(*) 
FROM singer 
WHERE Song_release_year >= 2010",1,"SELECT COUNT(DISTINCT Singer_ID) 
FROM singer 
WHERE Song_release_year >= 2010",1,"SELECT COUNT(*) 
FROM singer 
WHERE Song_release_year >= 2010",1,0,,openai_compat,SELECT COUNT(*) FROM singer WHERE Song_release_year >= 2010,ast,valid,1,0,0,0.754,0.9522,0.9267,0.001,0.0022,0.645559,openai_compat
cs_cm_07,COLUMN_MERGE,List merged names and song titles.,"SELECT Name_Country, Song_Name FROM singer ORDER BY Singer_ID",False,,"SELECT Name || ' - ' || Song_Name AS Merged_Name_Song
FROM singer",0,"SELECT Name || ' - ' || Song_Name AS Merged_Name_Song
FROM singer",0,"SELECT singer.Name_Country || ' - ' || singer.Song_Name AS Merged_Name_Song
FROM singer",0,"SELECT singer.Name || ' - ' || singer.Song_Name AS Merged_Name_Song
FROM singer",0,1,no such column: Name,openai_compat,SELECT Name_Country || ' - ' || Song_Name AS Merged_Name_Song FROM singer,ast,valid,0,0,0,1.046,0.8588,0.9117,1.5081,0.7833,0.697054,openai_compat
cs_cm_08,COLUMN_MERGE,Merged names for male singers.,SELECT Name_Country FROM singer WHERE Is_male='T' ORDER BY Singer_ID,False,,"SELECT GROUP_CONCAT(Name, ', ') AS Merged_Names
FROM singer
WHERE Is_male = 'yes'",0,"SELECT GROUP_CONCAT(Name, ', ') AS Merged_Names
FROM singer
WHERE Is_male = 'Yes'",0,"SELECT GROUP_CONCAT(s.Name_Country, ', ') AS Merged_Names
FROM singer s
WHERE s.Is_male = 'Yes'",0,"SELECT GROUP_CONCAT(Name, ', ') AS Merged_Names
FROM singer
WHERE Is_male = 'yes'",0,1,no such column: Name,openai_compat,"SELECT GROUP_CONCAT(SUBSTRING_INDEX(Name_Country, '_', 1), ', ') AS Merged_Names FROM singer WHERE Is_male = 'Yes'",ast,execution_error,0,0,0,1.318,0.8398,1.3347,1.0258,1.4827,0.690818,openai_compat
cs_cm_09,COLUMN_MERGE,Count singers from the United States.,SELECT COUNT(*) FROM singer WHERE Name_Country LIKE '% - United States',False,,"SELECT COUNT(*) 
FROM singer 
WHERE Country = 'United States'",1,"SELECT COUNT(*) 
FROM singer 
WHERE Country = 'United States'",0,"SELECT COUNT(*) 
FROM singer 
WHERE Name_Country = 'United States'",0,"SELECT COUNT(*) 
FROM singer 
WHERE Country = 'USA'",0,1,no such column: Country,openai_compat,SELECT COUNT(*) FROM singer WHERE Name_Country = 'United States',ast,silent_failure_suspected,0,0,0,0.8341,0.6648,0.7778,0.7425,0.7624,0.736946,openai_compat
cs_cm_10,COLUMN_MERGE,Merged names for concert 1 singers.,SELECT s.Name_Country FROM singer s JOIN singer_in_concert sc ON s.Singer_ID=sc.Singer_ID WHERE sc.Concert_ID=1 ORDER BY s.Name_Country,False,,"SELECT GROUP_CONCAT(s.Name, ', ') AS Merged_Names
FROM singer s
JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID
WHERE sic.Concert_ID = 1",0,"SELECT GROUP_CONCAT(s.Name, ', ') AS Merged_Names
FROM singer s
JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID
WHERE sic.Concert_ID = 1",0,"SELECT GROUP_CONCAT(singer.Name_Country, ', ') AS Merged_Names
FROM singer
JOIN singer_in_concert ON singer.Singer_ID = singer_in_concert.Singer_ID
WHERE singer_in_concert.Concert_ID = 1",0,"SELECT GROUP_CONCAT(singer.Name, ', ') AS Merged_Names
FROM singer
JOIN singer_in_concert ON singer.Singer_ID = singer_in_concert.Singer_ID
WHERE singer_in_concert.Concert_ID = 1",0,1,no such column: s.Name,openai_compat,"SELECT GROUP_CONCAT(s.Name_Country, ', ') AS Merged_Names FROM singer AS s JOIN singer_in_concert AS sic ON s.Singer_ID = sic.Singer_ID WHERE sic.Concert_ID = 1",ast,valid,0,0,0,1.3095,1.0267,1.5779,1.4133,0.7982,9.8047,openai_compat
