id,perturbation,question,expected_failure,sanity_sql,sanity_ok,sanity_latency_s,sanity_tokens_in,sanity_tokens_out,canonical_baseline_ok,canonical_mcp_ok,diff_sql,diff_ok,diff_latency_s,diff_tokens_in,diff_tokens_out,vendor_sql,vendor_ok,vendor_latency_s,vendor_tokens_in,vendor_tokens_out,vendor_n_api_calls,vendor_n_tool_calls,vendor_capped,tool_calls_json,backend
cs_ts_01,TABLE_SPLIT,List all singer names.,False,SELECT Name FROM singer,0,1.1024,155,9,0,1,SELECT Name FROM singer_info,1,1.2068,239,10,SELECT Name FROM singer_info,1,6.1909,3765,91,6,5,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT Name FROM singer;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT Name FROM singer""}, ""result"": {""verdict"": ""execution_error"", ""reason"": ""no such table: singer""}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT Name FROM singer_info;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT Name FROM singer_info""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
cs_ts_02,TABLE_SPLIT,Count singers from France.,False,SELECT COUNT(*) FROM singer WHERE Country = 'France',0,0.8389,155,15,0,1,"SELECT COUNT(*) 
FROM singer_info 
WHERE Country = 'France'",1,3.1495,239,18,SELECT COUNT(*) FROM singer_info WHERE Country = 'France',1,3.4316,1755,91,3,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT COUNT(*) FROM singer WHERE Country = 'France'""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT COUNT(*) FROM singer_info WHERE Country = 'France'""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
cs_ts_03,TABLE_SPLIT,Find the song name for Singer_ID 1.,False,SELECT Song_Name FROM singer WHERE Singer_ID = 1,0,1.0957,160,16,0,1,SELECT Song_Name FROM singer_songs WHERE Singer_ID = 1,1,1.3817,244,18,SELECT Song_Name FROM singer_songs WHERE Singer_ID = 1,1,4.0147,2345,79,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT Song_Name FROM singer WHERE Singer_ID = 1;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT Song_Name FROM singer_songs WHERE Singer_ID = 1;""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
cs_ts_04,TABLE_SPLIT,List singer names and countries alphabetically.,False,"SELECT Name, Country FROM singer ORDER BY Name, Country",0,0.9172,158,16,0,1,"SELECT Name, Country
FROM singer_info
ORDER BY Name, Country",1,1.0705,242,19,"SELECT Name, Country FROM singer_info ORDER BY Name, Country",1,6.0598,3895,126,6,5,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT Name, Country FROM singer ORDER BY Name, Country;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT Name, Country FROM singer ORDER BY Name, Country""}, ""result"": {""verdict"": ""execution_error"", ""reason"": ""no such table: singer""}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT Name, Country FROM singer_info ORDER BY Name, Country;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT Name, Country FROM singer_info ORDER BY Name, Country""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
cs_ts_05,TABLE_SPLIT,List singer names with age over 40.,False,SELECT Name FROM singer WHERE Age > 40,0,0.8915,159,14,0,1,"SELECT singer_info.Name 
FROM singer_info 
WHERE singer_info.Age > 40",1,1.0254,243,22,SELECT Name FROM singer_info WHERE Age > 40,1,3.9024,2330,71,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT Name FROM singer WHERE Age > 40;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT Name FROM singer_info WHERE Age > 40;""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
cs_ts_06,TABLE_SPLIT,List song release years since 2010.,False,SELECT DISTINCT Song_release_year FROM singer WHERE Song_release_year >= 2010,0,1.106,159,20,0,1,"SELECT Song_release_year 
FROM singer_songs 
WHERE Song_release_year > 2010",1,2.2154,243,23,SELECT Song_release_year FROM singer_songs WHERE Song_release_year > 2010,1,7.0536,3954,144,6,5,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT Song_release_year FROM singer WHERE Song_release_year > 2010;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT Song_release_year FROM singer WHERE Song_release_year > 2010""}, ""result"": {""verdict"": ""execution_error"", ""reason"": ""no such table: singer""}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT Song_release_year FROM singer_songs WHERE Song_release_year > 2010;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT Song_release_year FROM singer_songs WHERE Song_release_year > 2010""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
cs_ts_07,TABLE_SPLIT,List singer names with their song titles.,False,"SELECT Name, Song_Name FROM singer",0,1.2551,158,12,0,1,"SELECT singer_info.Name, singer_songs.Song_Name
FROM singer_info
JOIN singer_songs ON singer_info.Singer_ID = singer_songs.Singer_ID",1,1.6931,242,38,"SELECT Name, Song_Name FROM singer_info JOIN singer_songs ON singer_info.Singer_ID = singer_songs.Singer_ID",1,6.8836,3916,157,6,5,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT Name, Song_Name FROM singer;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT Name, Song_Name FROM singer""}, ""result"": {""verdict"": ""execution_error"", ""reason"": ""no such table: singer""}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT Name, Song_Name FROM singer_info JOIN singer_songs ON singer_info.Singer_ID = singer_songs.Singer_ID;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT Name, Song_Name FROM singer_info JOIN singer_songs ON singer_info.Singer_ID = singer_songs.Singer_ID""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
cs_ts_08,TABLE_SPLIT,Which singer performs the song 'Sun'?,False,SELECT Name FROM singer WHERE Song_Name = 'Sun',0,0.8443,159,15,0,1,"SELECT si.Name
FROM singer_songs ss
JOIN singer_info si ON ss.Singer_ID = si.Singer_ID
WHERE ss.Song_Name = 'Sun'",1,1.3282,243,38,SELECT Name FROM singer_info JOIN singer_songs ON singer_info.Singer_ID = singer_songs.Singer_ID WHERE Song_Name = 'Sun',1,5.0198,2630,168,4,4,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT Name FROM singer WHERE Song_Name = 'Sun'""}, ""result"": {""method"": ""ast""}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT Name FROM singer_info JOIN singer_songs ON singer_info.Singer_ID = singer_songs.Singer_ID WHERE Song_Name = 'Sun'""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT Name FROM singer_info JOIN singer_songs ON singer_info.Singer_ID = singer_songs.Singer_ID WHERE Song_Name = 'Sun'""}, ""result"": {""verdict"": ""silent_failure_suspected"", ""reason"": ""low_semantic_similarity""}}]",openai_compat
cs_ts_09,TABLE_SPLIT,Count male singers.,False,SELECT COUNT(*) FROM singer WHERE Is_male = 'yes',0,1.0115,154,17,0,0,"SELECT COUNT(*) 
FROM singer_info 
WHERE Is_male = 'Yes'",0,1.7053,238,20,SELECT COUNT(*) FROM singer_info WHERE Is_male = 'Yes' OR Is_male = 'yes',0,4.7034,2550,133,4,4,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT COUNT(*) FROM singer WHERE Is_male = 'yes'""}, ""result"": {""method"": ""ast""}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT COUNT(*) FROM singer_info WHERE Is_male = 'yes'""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT COUNT(*) FROM singer_info WHERE Is_male = 'yes'""}, ""result"": {""verdict"": ""silent_failure_suspected"", ""reason"": ""empty_result_on_affirmative_question""}}]",openai_compat
cs_ts_10,TABLE_SPLIT,Singers with songs released in 2014 or later.,False,SELECT Name FROM singer WHERE Song_release_year >= 2014,0,0.9408,162,17,0,1,"SELECT si.Name
FROM singer_songs ss
JOIN singer_info si ON ss.Singer_ID = si.Singer_ID
WHERE ss.Song_release_year >= 2014",1,8.2676,246,40,SELECT Name FROM singer_info WHERE Singer_ID IN (SELECT Singer_ID FROM singer_songs WHERE Song_release_year >= 2014),1,5.0224,2369,104,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT Name FROM singer WHERE Song_release_year >= 2014;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT Name FROM singer_info WHERE Singer_ID IN (SELECT Singer_ID FROM singer_songs WHERE Song_release_year >= 2014);""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
